a, an;indefinite, article;A1;a,
abandon;Verb;B2;opustiť
ability;Noun;A2;schopnosť
able;Adjective;A2;schopný
about;prep. Adverb;A1;o
above;prep. Adverb;A1;vyššie
abroad;Adverb;A2;v zahraničí
absolute;Adjective;B2;absolútny
absolutely;Adverb;B1;absolútne
academic;adj, Noun;B1, B2;akademický
accept;Verb;A2;súhlasiť
acceptable;Adjective;B2;prijateľný
access;Noun Verb;B1;prístup
accident;Noun;A2;nehoda
accommodation;Noun;B1;ubytovanie
accompany;Verb;B2;sprevádzať
according to;prep.;A2;podľa
account;Noun Verb;B1, B2;účet
accurate;Adjective;B2;presný
accuse;Verb;B2;obviniť
achieve;Verb;A2;dosiahnuť
achievement;Noun;B1;úspech
acknowledge;Verb;B2;potvrdiť
acquire;Verb;B2;nadobudnúť
across;prep. Adverb;A1;naprieč
act;Verb Noun;A2,B1;chovať
action;Noun;A1;akčné
active;Adjective;A2;aktívny
activity;Noun;A1;aktivita
actor;Noun;A1;herec
actress;Noun;A1;herečka
actual;Adjective;B2;skutočný
actually;Adverb;A2;vlastne
ad;Noun;B1;reklama
adapt;Verb;B2;prispôsobiť
add;Verb;A1;pridať
addition;Noun;B1;pridanie
additional;Adjective;B2;dodatočný
address;Noun Verb;A1,B2;adresa
administration;Noun;B2;podávanie
admire;Verb;B1;obdivovať
admit;Verb;B1;pripustiť
adopt;Verb;B2;prijať
adult;Noun adj;A1,A2;dospelý
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Pokročilé
Advantage;Noun;A2;výhoda
Adventure;Noun;A2;dobrodružstvo
Advertise;Verb;A2;inzerovať
Advertisement;Noun;A2;Reklama
Advertising;Noun;A2;reklama
Advice;Noun Verb;A1, B1;rada
affair;Noun;B2;záležitosť
affect;Verb;A2;ovplyvniť
afford;Verb;B1;dovoliť si
afraid;Adjective;A1;báť
after;prep. conj. Adverb;A1,A2;po
afternoon;Noun;A1;popoludnie
afterwards;Adverb;B2;neskôr
again;Adverb;A1;znovu
against;prep;A2;proti
age;Noun Verb;A1, B1;Vek
aged;Adjective;B1;dlhoročný
agency;Noun;B2;kancelária
agenda;Noun;B2;program
agent;Noun;B1;agent
aggressive;Adjective;B2;útočný
ago;Adverb;A1;pred
agree;Verb;A1;súhlasiť
agreement;Noun;B1;dohoda
ah;exclam.;A2;ah
ahead;Adverb;B1;vpred
aid;Noun Verb;B2;pomoc
aim;Verb Noun;B1;cieľ
air;Noun;A1;ovzdušia
aircraft;Noun;B2;lietadlo
airline;Noun;A2;letecká linka
airport;Noun;A1;letisko
alarm;Noun Verb;B1, B2;poplach
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkoholik
alive;Adjective;A2;nažive
all;det. pron, Adverb;A1, A2;všetko
all right;Adjective, Adverb exclam;A2;dobre
allow;Verb;A2;dovoliť
almost;Adverb;A2;takmer
alone;Adjective, Adverb;A2;sám
along;prep. Adverb;A2;pozdĺž
already;Adverb;A2;už
also;Adverb;A1;tiež
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternatívne
although;conj;A2;hoci
always;Adverb;A1;vždy
amazed;Adjective;B1;úžas
amazing;Adjective;A1;úžasný
ambition;Noun;B1;ctižiadosť
ambitious;Adjective;B1;ctižiadostivý
among;prep.;A2;medzi
amount;Noun Verb;A2, B2;čiastka
analyse;Verb;B1;analyzovať
analysis;Noun;B1;analýza
ancient;Adjective;A2;staroveký
and;conj;A1;a
anger;Noun;B2;hnev
angle;Noun;B2;uhol
angry;Adjective;A1;nahnevaný
animal;Noun;A1;zviera
ankle;Noun;A2;členok
anniversary;Noun;B2;výročie
announce;Verb;B1;oznámiť
announcement;Noun;B1;oznámenia
annoy;Verb;B1;otravovať
annoyed;Adjective;B1;otrávený
annoying;Adjective;B1;nepríjemný
annual;Adjective;B2;Výročný
another;det. proNoun;A1;ďalší
answer;Noun Verb;A1;odpoveď
anxious;Adjective;B2;úzkostlivý
any;det. proNoun, Adverb;A1, A2;akýkoľvek
anybody;pron;A2;niekto
any more;Adverb;A2;nič viac
anyone;pron;A1;niekto
anything;pron;A1;čokoľvek
anyway;Adverb;A2;v každom prípade
anywhere;AdVerb proNoun;A2;kdekoľvek
apart;Adverb;B1;oddelene
apartment;Noun;A1;byt
apologize;Verb;B1;ospravedlňovať
app;Noun;A2;aplikácie
apparent;Adjective;B2;zdanlivý
apparently;Adverb;B2;zrejme
appeal;Noun Verb;B2;príťažlivosť
appear;Verb;A2;javí
appearance;Noun;A2;vzhľad
apple;Noun;A1;jablko
application;Noun;B1;prihláška
apply;Verb;A2;platiť
appointment;Noun;B1;vymenovanie
appreciate;Verb;B1;oceniť
approach;Noun Verb;B2;prístup
appropriate;Adjective;B2;privlastniť
approval;Noun;B2;schválenie
approve;Verb;B2;schvaľovať
approximately;Adverb;B1;približne
April;Noun;A1;apríl
architect;Noun;A2;architekt
architecture;Noun;A2;architektúra
area;Noun;A1;rozloha
argue;Verb;A2;hádať sa
argument;Noun;A2;argument
arise;Verb;B2;vyvstať
arm;Noun;A1;paže
armed;Adjective;B2;vyzbrojený
arms;Noun;B2;zbrane
army;Noun;A2;armáda
around;prep. Adverb;A1;okolo
arrange;Verb;A2;usporiadať
arrangement;Noun;A2;usporiadanie
arrest;Verb Noun;B1;zatknúť
arrival;Noun;B1;prílet
arrive;Verb;A1;prísť
art;Noun;A1;umenie
article;Noun;A1;článok
artificial;Adjective;B2;umelý
artist;Noun;A1;umelec
artistic;Adjective;B2;umelecký
as;prep., Adverb conj.;A1, A2;ako
ashamed;Adjective;B2;zahanbený
asleep;Adjective;A2;spiace
ask;Verb;A1;opýtať sa
aspect;Noun;B2;aspekt
assess;Verb;B2;posúdiť
assessment;Noun;B2;posúdenie
assignment;Noun;B1;prideľovanie
assist;Verb;B1;asistovať
assistant;Noun Adjective;A2;pomocník
associate;Verb;B2;spolupracovník
associated;Adjective;B2;príslušného
association;Noun;B2;združenie
assume;Verb;B2;predpokladať
at;prep.;A1;na
athlete;Noun;A2;športovec
atmosphere;Noun;B1;atmosféra
attach;Verb;B1;priložiť
attack;Noun Verb;A2;útok
attempt;Noun Verb;B2;pokúsiť
attend;Verb;A2;navštevovať
attention;Noun exclam.;A2;pozornosť
attitude;Noun;B1;postoj
attract;Verb;B1;priťahovať
attraction;Noun;B1;príťažlivosť
attractive;Adjective;A2;atraktívne
audience;Noun;A2;publikum
August;Noun;A1;august
aunt;Noun;A1;teta
author;Noun;A2;autor
authority;Noun;B1;autorita
autumn;Noun;A1;jeseň
available;Adjective;A2;k dispozícii
average;Adjective, Noun Verb;A2, B1;priemerný
avoid;Verb;A2;vyhnúť
award;Noun Verb;A2, B1;cena
aware;Adjective;B1;vedomý
away;Adverb;A1;preč
awful;Adjective;A2;děsný
baby;Noun;A1;dieťa
back;Noun AdVerb Adjective, Verb;A1, A2, B2;späť
background;Noun;A2;pozadie
backwards;Adverb;B1;späť
bacteria;Noun;B2;baktérie
bad;Adjective;A1;zlý
badly;Adverb;A2;zle
bag;Noun;A1;sáčok
bake;Verb;B1;upiecť
balance;Noun Verb;B1;zostatok
ball;Noun;A1;lopta
ban;Verb Noun;B1;zákaz
banana;Noun;A1;banán
band;Noun;A1;pruh
bank (money);Noun;A1;banka (peniaze)
bank (river);Noun;B1;banka (rieka)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;bariéra
base;Noun Verb;B1;základňa
baseball;Noun;A2;baseball
based;Adjective;A2;založené
basketball;Noun;A2;basketball
basic;Adjective;B1;basic
basically;Adverb;B2;v podstate
basis;Noun;B1;základ
bath;Noun;A1;kúpeľ
bathroom;Noun;A1;kúpeľňa
battery;Noun;B1;batérie
battle;Noun Verb;B1, B2;bitka
be;Verb auxiliary Verb;A1;byť
beach;Noun;A1;pláž
bean;Noun;A2;fazuľa
bear (deal with);Verb;B2;medveď (zaoberajú)
bear (animal);Noun;A2;medveď (zviera)
beat;Verb Noun;A2, B2;poraziť
beautiful;Adjective;A1;krásny
beauty;Noun;B1;krása
because;conj.;A1;pretože
become;Verb;A1;stať sa
bed;Noun;A1;posteľ
bedroom;Noun;A1;spálne
bee;Noun;B1;včela
beef;Noun;A2;hovädzie mäso
beer;Noun;A1;pivo
before;prep., conj. Adverb;A1, A2;pred
beg;Verb;B2;žobrať
begin;Verb;A1;začať
beginning;Noun;A1;začiatok
behave;Verb;A2;chovať
behaviour;Noun;A2;správanie
behind;prep. Adverb;A1;za
being;Noun;B2;bytosť
belief;Noun;B1;viera
believe;Verb;A1;veriť
bell;Noun;B1;zvon
belong;Verb;A2;patriť
below;Adverb prep.;A1;nižšie
belt;Noun;A2;remeň
bend;Verb Noun;B1;ohyb
benefit;Verb NouNoun;A2, B1;výhoda
bent;Adjective;B2;ohnutý
best;Adjective, AdVerb Noun;A1, A2;najlepší
bet;Verb Noun;B2;stávka
better;Adjective , Adverb , Noun;A1, A2, B1;lepšie
between;prep., Adverb;A1, A2;medzi
beyond;prep. Adverb;B2;mimo
bicycle;Noun;A1;bicykel
big;Adjective;A1;veľký
bike;Noun;A1;bicykel
bill;Noun Verb;A1, B2;zmenka
billion number; ;A2;miliardy číslo
bin;Noun;A2;popolnice
