a, an;indefinite, article;A1;a, yang
abandon;Verb;B2;meninggalkan
ability;Noun;A2;keupayaan
able;Adjective;A2;dapat
about;prep. Adverb;A1;mengenai
above;prep. Adverb;A1;atas
abroad;Adverb;A2;di luar negara
absolute;Adjective;B2;mutlak
absolutely;Adverb;B1;sama sekali
academic;adj, Noun;B1, B2;akademik
accept;Verb;A2;menerima
acceptable;Adjective;B2;boleh diterima
access;Noun Verb;B1;akses
accident;Noun;A2;kemalangan
accommodation;Noun;B1;penginapan
accompany;Verb;B2;menemani
according to;prep.;A2;mengikut
account;Noun Verb;B1, B2;akaun
accurate;Adjective;B2;tepat
accuse;Verb;B2;menuduh
achieve;Verb;A2;mencapai
achievement;Noun;B1;pencapaian
acknowledge;Verb;B2;Mengakui
acquire;Verb;B2;memperoleh
across;prep. Adverb;A1;seluruh
act;Verb Noun;A2,B1;bertindak
action;Noun;A1;tindakan
active;Adjective;A2;aktif
activity;Noun;A1;aktiviti
actor;Noun;A1;pelakon
actress;Noun;A1;pelakon
actual;Adjective;B2;sebenar
actually;Adverb;A2;sebenarnya
ad;Noun;B1;iklan
adapt;Verb;B2;menyesuaikan
add;Verb;A1;Tambah
addition;Noun;B1;selain
additional;Adjective;B2;tambahan
address;Noun Verb;A1,B2;alamat
administration;Noun;B2;pentadbiran
admire;Verb;B1;kagumi
admit;Verb;B1;mengaku
adopt;Verb;B2;menerima pakai
adult;Noun adj;A1,A2;dewasa
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;Advantage
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;Iklan
Advertisement;Noun;A2;Iklan
Advertising;Noun;A2;Mengiklankan
Advice;Noun Verb;A1, B1;nasihat
affair;Noun;B2;urusan
affect;Verb;A2;menjejaskan
afford;Verb;B1;mampu
afraid;Adjective;A1;takut
after;prep. conj. Adverb;A1,A2;selepas
afternoon;Noun;A1;petang
afterwards;Adverb;B2;selepas itu
again;Adverb;A1;lagi
against;prep;A2;terhadap
age;Noun Verb;A1, B1;umur
aged;Adjective;B1;berumur
agency;Noun;B2;agensi
agenda;Noun;B2;agenda
agent;Noun;B1;ejen
aggressive;Adjective;B2;agresif
ago;Adverb;A1;lalu
agree;Verb;A1;bersetuju
agreement;Noun;B1;perjanjian
ah;exclam.;A2;ah
ahead;Adverb;B1;hadapan
aid;Noun Verb;B2;bantuan
aim;Verb Noun;B1;matlamat
air;Noun;A1;udara
aircraft;Noun;B2;kapal terbang
airline;Noun;A2;syarikat penerbangan
airport;Noun;A1;lapangan terbang
alarm;Noun Verb;B1, B2;penggera
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkohol
alive;Adjective;A2;hidup
all;det. pron, Adverb;A1, A2;semua
all right;Adjective, Adverb exclam;A2;semua betul
allow;Verb;A2;membolehkan
almost;Adverb;A2;hampir
alone;Adjective, Adverb;A2;sahaja
along;prep. Adverb;A2;bersama-sama
already;Adverb;A2;sudah
also;Adverb;A1;juga
alter;Verb;B2;alter
alternative;Noun Adjective;A2, B1;alternatif
although;conj;A2;walaupun
always;Adverb;A1;sentiasa
amazed;Adjective;B1;kagum
amazing;Adjective;A1;menakjubkan
ambition;Noun;B1;cita-cita
ambitious;Adjective;B1;bercita-cita tinggi
among;prep.;A2;antara
amount;Noun Verb;A2, B2;jumlah
analyse;Verb;B1;menganalisis
analysis;Noun;B1;analisis
ancient;Adjective;A2;purba
and;conj;A1;dan
anger;Noun;B2;kemarahan
angle;Noun;B2;sudut
angry;Adjective;A1;marah
animal;Noun;A1;haiwan
ankle;Noun;A2;buku lali
anniversary;Noun;B2;ulang tahun
announce;Verb;B1;mengumumkan
announcement;Noun;B1;pengumuman
annoy;Verb;B1;menggusarkan
annoyed;Adjective;B1;marah
annoying;Adjective;B1;menjengkelkan
annual;Adjective;B2;tahunan
another;det. proNoun;A1;lain
answer;Noun Verb;A1;jawapan
anxious;Adjective;B2;cemas
any;det. proNoun, Adverb;A1, A2;mana-mana
anybody;pron;A2;sesiapa
any more;Adverb;A2;lagi
anyone;pron;A1;sesiapa
anything;pron;A1;apa-apa
anyway;Adverb;A2;anyway
anywhere;AdVerb proNoun;A2;mana-mana sahaja
apart;Adverb;B1;selain
apartment;Noun;A1;Flat
apologize;Verb;B1;memohon maaf
app;Noun;A2;aplikasi
