a, an;indefinite, article;A1;un, una
abandon;Verb;B2;abandonar
ability;Noun;A2;capacidad
able;Adjective;A2;poder
about;prep. Adverb;A1;acerca de
above;prep. Adverb;A1;encima
abroad;Adverb;A2;extranjero
absolute;Adjective;B2;absoluto
absolutely;Adverb;B1;absolutamente
academic;adj, Noun;B1, B2;académico
accept;Verb;A2;aceptar
acceptable;Adjective;B2;aceptable
access;Noun Verb;B1;acceso
accident;Noun;A2;accidente
accommodation;Noun;B1;alojamiento
accompany;Verb;B2;acompañar
according to;prep.;A2;de acuerdo a
account;Noun Verb;B1, B2;cuenta
accurate;Adjective;B2;preciso
accuse;Verb;B2;acusar
achieve;Verb;A2;lograr
achievement;Noun;B1;logro
acknowledge;Verb;B2;reconocer
acquire;Verb;B2;adquirir
across;prep. Adverb;A1;a través de
act;Verb Noun;A2,B1;Actuar
action;Noun;A1;acción
active;Adjective;A2;activo
activity;Noun;A1;actividad
actor;Noun;A1;actor
actress;Noun;A1;Actriz
actual;Adjective;B2;real
actually;Adverb;A2;Realmente
ad;Noun;B1;anuncio
adapt;Verb;B2;adaptar
add;Verb;A1;añadir
addition;Noun;B1;adición
additional;Adjective;B2;adicional
address;Noun Verb;A1,B2;habla a
administration;Noun;B2;administración
admire;Verb;B1;admirar
admit;Verb;B1;admitir
adopt;Verb;B2;adoptar
adult;Noun adj;A1,A2;adulto
Advance;Noun Verb adj;B2;Avanzar
Advanced;Adjective;B1;Avanzado
Advantage;Noun;A2;Ventaja
Adventure;Noun;A2;Aventuras
Advertise;Verb;A2;Anunciar
Advertisement;Noun;A2;Anuncio
Advertising;Noun;A2;Publicidad
Advice;Noun Verb;A1, B1;Consejo
affair;Noun;B2;asunto
affect;Verb;A2;afectar
afford;Verb;B1;permitirse
afraid;Adjective;A1;temeroso
after;prep. conj. Adverb;A1,A2;después
afternoon;Noun;A1;tarde
afterwards;Adverb;B2;después
again;Adverb;A1;de nuevo
against;prep;A2;en contra
age;Noun Verb;A1, B1;años
aged;Adjective;B1;Envejecido
agency;Noun;B2;agencia
agenda;Noun;B2;agenda
agent;Noun;B1;agente
aggressive;Adjective;B2;agresivo
ago;Adverb;A1;hace
agree;Verb;A1;de acuerdo
agreement;Noun;B1;acuerdo
ah;exclam.;A2;ah
ahead;Adverb;B1;adelante
aid;Noun Verb;B2;ayuda
aim;Verb Noun;B1;objetivo
air;Noun;A1;aire
aircraft;Noun;B2;aeronave
airline;Noun;A2;aerolínea
airport;Noun;A1;aeropuerto
alarm;Noun Verb;B1, B2;alarma
album;Noun;B1;álbum
alcohol;Noun;B1;alcohol
alcoholic;Adjective;B1;alcohólico
alive;Adjective;A2;viva
all;det. pron, Adverb;A1, A2;todas
all right;Adjective, Adverb exclam;A2;todo bien
allow;Verb;A2;permitir
almost;Adverb;A2;casi
alone;Adjective, Adverb;A2;solo
along;prep. Adverb;A2;a lo largo
already;Adverb;A2;ya
also;Adverb;A1;además
alter;Verb;B2;alterar
alternative;Noun Adjective;A2, B1;alternativa
although;conj;A2;a pesar de que
always;Adverb;A1;siempre
amazed;Adjective;B1;asombrado
amazing;Adjective;A1;asombroso
ambition;Noun;B1;ambición
ambitious;Adjective;B1;ambicioso
among;prep.;A2;entre
amount;Noun Verb;A2, B2;cantidad
analyse;Verb;B1;analizar
analysis;Noun;B1;análisis
ancient;Adjective;A2;antiguo
and;conj;A1;y
anger;Noun;B2;enfado
angle;Noun;B2;ángulo
angry;Adjective;A1;enojado
animal;Noun;A1;animal
ankle;Noun;A2;tobillo
anniversary;Noun;B2;aniversario
announce;Verb;B1;anunciar
announcement;Noun;B1;anuncio
annoy;Verb;B1;molestar
annoyed;Adjective;B1;irritado
annoying;Adjective;B1;molesto
annual;Adjective;B2;anual
another;det. proNoun;A1;otro
answer;Noun Verb;A1;responder
anxious;Adjective;B2;ansioso
any;det. proNoun, Adverb;A1, A2;alguna
anybody;pron;A2;cualquiera
any more;Adverb;A2;nunca más
anyone;pron;A1;nadie
anything;pron;A1;cualquier cosa
anyway;Adverb;A2;de todas formas
anywhere;AdVerb proNoun;A2;en cualquier sitio
apart;Adverb;B1;aparte
apartment;Noun;A1;Departamento
apologize;Verb;B1;pedir disculpas
app;Noun;A2;aplicación
apparent;Adjective;B2;aparente
apparently;Adverb;B2;aparentemente
appeal;Noun Verb;B2;apelación
appear;Verb;A2;Aparecer
appearance;Noun;A2;apariencia
apple;Noun;A1;manzana
application;Noun;B1;solicitud
apply;Verb;A2;aplicar
appointment;Noun;B1;cita
appreciate;Verb;B1;apreciar
approach;Noun Verb;B2;Acercarse
appropriate;Adjective;B2;apropiado
approval;Noun;B2;aprobación
approve;Verb;B2;aprobar
approximately;Adverb;B1;aproximadamente
April;Noun;A1;abril
architect;Noun;A2;arquitecto
architecture;Noun;A2;arquitectura
