a, an;indefinite, article;A1;А,
abandon;Verb;B2;откаже
ability;Noun;A2;способност
able;Adjective;A2;можност
about;prep. Adverb;A1;во врска со
above;prep. Adverb;A1;погоре
abroad;Adverb;A2;во странство
absolute;Adjective;B2;апсолутна
absolutely;Adverb;B1;Апсолутно
academic;adj, Noun;B1, B2;академска
accept;Verb;A2;прифати
acceptable;Adjective;B2;прифатлива
access;Noun Verb;B1;пристап
accident;Noun;A2;несреќа
accommodation;Noun;B1;сместување
accompany;Verb;B2;придружува
according to;prep.;A2;според
account;Noun Verb;B1, B2;сметка
accurate;Adjective;B2;точен
accuse;Verb;B2;обвинуваат
achieve;Verb;A2;постигне
achievement;Noun;B1;достигнување
acknowledge;Verb;B2;признаваат
acquire;Verb;B2;стекнуваат
across;prep. Adverb;A1;низ
act;Verb Noun;A2,B1;дејствува
action;Noun;A1;акција
active;Adjective;A2;активни
activity;Noun;A1;активност
actor;Noun;A1;актер
actress;Noun;A1;актерката
actual;Adjective;B2;вистински
actually;Adverb;A2;всушност,
ad;Noun;B1;реклама
adapt;Verb;B2;адаптираат
add;Verb;A1;додадете
addition;Noun;B1;Покрај тоа
additional;Adjective;B2;дополнителен
address;Noun Verb;A1,B2;адреса
administration;Noun;B2;администрација
admire;Verb;B1;восхитувам
admit;Verb;B1;Признавам
adopt;Verb;B2;донесе
adult;Noun adj;A1,A2;возрасни
Advance;Noun Verb adj;B2;однапред
Advanced;Adjective;B1;Напредно
Advantage;Noun;A2;предност
Adventure;Noun;A2;авантура
Advertise;Verb;A2;Реклами
Advertisement;Noun;A2;Маркетинг
Advertising;Noun;A2;Рекламирање
Advice;Noun Verb;A1, B1;совети
affair;Noun;B2;аферата
affect;Verb;A2;влијаат
afford;Verb;B1;да си дозволат
afraid;Adjective;A1;плаши
after;prep. conj. Adverb;A1,A2;по
afternoon;Noun;A1;попладне
afterwards;Adverb;B2;потоа
again;Adverb;A1;повторно
against;prep;A2;против
age;Noun Verb;A1, B1;возраст
aged;Adjective;B1;возраст
agency;Noun;B2;агенција
agenda;Noun;B2;агенда
agent;Noun;B1;агент
aggressive;Adjective;B2;агресивен
ago;Adverb;A1;пред
agree;Verb;A1;се согласувам
agreement;Noun;B1;договор
ah;exclam.;A2;ах
ahead;Adverb;B1;пред
aid;Noun Verb;B2;помош
aim;Verb Noun;B1;цел
air;Noun;A1;воздух
aircraft;Noun;B2;авиони
airline;Noun;A2;авиокомпанија
airport;Noun;A1;аеродром
alarm;Noun Verb;B1, B2;аларм
album;Noun;B1;албум
alcohol;Noun;B1;алкохол
alcoholic;Adjective;B1;алкохолни
alive;Adjective;A2;жив
all;det. pron, Adverb;A1, A2;сите
all right;Adjective, Adverb exclam;A2;во ред
allow;Verb;A2;дозволи
almost;Adverb;A2;за малку
alone;Adjective, Adverb;A2;сам
along;prep. Adverb;A2;заедно
already;Adverb;A2;веќе
also;Adverb;A1;исто така,
alter;Verb;B2;алтер
alternative;Noun Adjective;A2, B1;алтернатива
although;conj;A2;иако
always;Adverb;A1;секогаш
amazed;Adjective;B1;зачуден
amazing;Adjective;A1;неверојатно
ambition;Noun;B1;амбиција
ambitious;Adjective;B1;амбициозни
among;prep.;A2;меѓу
amount;Noun Verb;A2, B2;износ
analyse;Verb;B1;анализира
analysis;Noun;B1;анализа
ancient;Adjective;A2;антички
and;conj;A1;и
anger;Noun;B2;гнев
angle;Noun;B2;агол
angry;Adjective;A1;лути
