a, an;indefinite, article;A1;a, an
abandon;Verb;B2;bỏ
ability;Noun;A2;có khả năng
able;Adjective;A2;khả năng
about;prep. Adverb;A1;trong khoảng
above;prep. Adverb;A1;ở trên
abroad;Adverb;A2;ở nước ngoài
absolute;Adjective;B2;tuyệt đối
absolutely;Adverb;B1;chắc chắn rồi
academic;adj, Noun;B1, B2;thuộc về lý thuyết
accept;Verb;A2;Chấp nhận
acceptable;Adjective;B2;chấp nhận được
access;Noun Verb;B1;truy cập
accident;Noun;A2;Tai nạn
accommodation;Noun;B1;chỗ ở
accompany;Verb;B2;đồng hành
according to;prep.;A2;dựa theo
account;Noun Verb;B1, B2;tài khoản
accurate;Adjective;B2;chính xác
accuse;Verb;B2;tố cáo
achieve;Verb;A2;Hoàn thành
achievement;Noun;B1;thành tích
acknowledge;Verb;B2;công nhận
acquire;Verb;B2;có được, thu được
across;prep. Adverb;A1;băng qua
act;Verb Noun;A2,B1;hành động
action;Noun;A1;hoạt động
active;Adjective;A2;tích cực
activity;Noun;A1;Hoạt động
actor;Noun;A1;diễn viên
actress;Noun;A1;nữ diễn viên
actual;Adjective;B2;thực tế
actually;Adverb;A2;thực ra
ad;Noun;B1;quảng cáo
adapt;Verb;B2;phỏng theo
add;Verb;A1;thêm vào
addition;Noun;B1;thêm vào
additional;Adjective;B2;thêm vào
address;Noun Verb;A1,B2;Địa chỉ
administration;Noun;B2;quản lý
admire;Verb;B1;ngưỡng mộ
admit;Verb;B1;thừa nhận
adopt;Verb;B2;nhận nuôi
adult;Noun adj;A1,A2;người lớn
Advance;Noun Verb adj;B2;Nâng cao
Advanced;Adjective;B1;Nâng cao
Advantage;Noun;A2;Lợi thế
Adventure;Noun;A2;Cuộc phiêu lưu
Advertise;Verb;A2;Quảng cáo
Advertisement;Noun;A2;Quảng cáo
Advertising;Noun;A2;quảng cáo
Advice;Noun Verb;A1, B1;Khuyên bảo
affair;Noun;B2;công việc
affect;Verb;A2;có ảnh hưởng đến
afford;Verb;B1;mua được
afraid;Adjective;A1;sợ
after;prep. conj. Adverb;A1,A2;sau
afternoon;Noun;A1;buổi chiều
afterwards;Adverb;B2;về sau
again;Adverb;A1;lần nữa
against;prep;A2;chống lại
age;Noun Verb;A1, B1;tuổi tác
aged;Adjective;B1;già
agency;Noun;B2;đại lý
agenda;Noun;B2;chương trình nghị sự
agent;Noun;B1;đặc vụ
aggressive;Adjective;B2;xâm lược
ago;Adverb;A1;cách đây
agree;Verb;A1;đồng ý
agreement;Noun;B1;hợp đồng
ah;exclam.;A2;Ah
ahead;Adverb;B1;ở phía trước
aid;Noun Verb;B2;viện trợ
aim;Verb Noun;B1;mục đích
air;Noun;A1;không khí
aircraft;Noun;B2;phi cơ
airline;Noun;A2;máy bay
airport;Noun;A1;sân bay
alarm;Noun Verb;B1, B2;báo thức
album;Noun;B1;album
alcohol;Noun;B1;rượu
alcoholic;Adjective;B1;kẻ nghiện rượu
alive;Adjective;A2;sống sót
all;det. pron, Adverb;A1, A2;tất cả
all right;Adjective, Adverb exclam;A2;được rồi
allow;Verb;A2;cho phép
almost;Adverb;A2;hầu hết
alone;Adjective, Adverb;A2;một mình
along;prep. Adverb;A2;dọc theo
already;Adverb;A2;đã sẵn sàng
also;Adverb;A1;cũng thế
alter;Verb;B2;ALTER
alternative;Noun Adjective;A2, B1;thay thế
although;conj;A2;Mặc du
always;Adverb;A1;luôn luôn
amazed;Adjective;B1;ngạc nhiên
amazing;Adjective;A1;kinh ngạc
ambition;Noun;B1;tham vọng
ambitious;Adjective;B1;đầy tham vọng
among;prep.;A2;ở giữa
amount;Noun Verb;A2, B2;lượng
analyse;Verb;B1;phân tích
analysis;Noun;B1;nghiên cứu
ancient;Adjective;A2;cổ xưa
and;conj;A1;và
anger;Noun;B2;Sự phẫn nộ
angle;Noun;B2;góc
angry;Adjective;A1;bực bội
animal;Noun;A1;động vật
