a, an;indefinite, article;A1;ایک
abandon;Verb;B2;چھوڑنا
ability;Noun;A2;صلاحیت۔قابلیت
able;Adjective;A2;قابل
about;prep. Adverb;A1;کے بارے میں۔تقریباً
above;prep. Adverb;A1;مندرجہ بالا۔اوپر
abroad;Adverb;A2;بیرون ملک
absolute;Adjective;B2;خالص۔بالکل
absolutely;Adverb;B1;بالکل
academic;adj, Noun;B1, B2;استاد۔کالج سےمتعلق
accept;Verb;A2;قبول کرنا
acceptable;Adjective;B2;قابل قبول
access;Noun Verb;B1;راستہ۔رسائی
accident;Noun;A2;حادثہ
accommodation;Noun;B1;مناسب۔رہائش
accompany;Verb;B2;ہمراہ۔ساتھ
according to;prep.;A2;کے مطابق
account;Noun Verb;B1, B2;کھاتہ۔حساب کرنا
accurate;Adjective;B2;بالکل درست
accuse;Verb;B2;الزام دینا
achieve;Verb;A2;حاصل کرنا
achievement;Noun;B1;کامیابی۔کارنامہ
acknowledge;Verb;B2;اعتراف کرنا۔تسلیم کرنا۔
acquire;Verb;B2;پانا۔حاصل کرنا۔
across;prep. Adverb;A1;آرپار
act;Verb  Noun;A2,B1;کام کرنا ، قانون، فعل
action;Noun;A1;کاروائی۔فعل۔عمل
active;Adjective;A2;عملی حصہ لینا
activity;Noun;A1;سرگرمی
actor;Noun;A1;اداکار۔فنکار
actress;Noun;A1;ادکارہ
actual;Adjective;B2;حقیقی
actually;Adverb;A2;حقیقت میں۔اصل
ad;Noun;B1;اشتھار
adapt;Verb;B2;اپنانا۔اختیار کرنا۔
add;Verb;A1;جمع کرنا۔شامل کرنا
addition;Noun;B1;اضافہ کرنا
additional;Adjective;B2;اضافی
address;Noun Verb;A1,B2;پتہ،خطاب کرنا۔تقریر کرنا
administration;Noun;B2;انتظامیہ
admire;Verb;B1;احترام کرنا۔پسند کرنا
admit;Verb;B1;تسلیم کرنا۔اعتراف کرنا
adopt;Verb;B2;اپنانا۔انتخاب کرنا
adult;Noun adj;A1,A2;جوان۔بالغ،فحش
Advance;Noun Verb  adj;B2;آگے بڑھنا، اضافہ کرنا، پیشگی
Advanced;Adjective;B1;اعلی۔جدید
Advantage;Noun;A2;برتری۔فائدہ
Adventure;Noun;A2;مہم جوئی۔تخریب کاری
Advertise;Verb;A2;تشہیر کرنا۔اشتہار دینا
Advertisement;Noun;A2;اشتہار۔تشہیر
Advertising;Noun;A2;اشتہار۔تشہیر
Advice;Noun Verb;A1, B1;مشورہ، مشورہ دینا
affair;Noun;B2;معاملہ۔ناجائز تعلق
affect;Verb;A2;اثر انداز ہونا
afford;Verb;B1;استطاعت رکھنا
afraid;Adjective;A1;ڈرا ہوا
after;prep. conj. Adverb;A1,A2;آگے چل کے۔بعد میں
afternoon;Noun;A1;دوپہر
afterwards;Adverb;B2;اس کے بعد۔بعد میں
