a, an;indefinite, article;A1;A-sse,
abandon;Verb;B2;loobuma
ability;Noun;A2;võime
able;Adjective;A2;võimeline
about;prep. Adverb;A1;umbes
above;prep. Adverb;A1;üle
abroad;Adverb;A2;välismaal
absolute;Adjective;B2;absoluutne
absolutely;Adverb;B1;absoluutselt
academic;adj, Noun;B1, B2;Akadeemiline
accept;Verb;A2;aktsepteerima
acceptable;Adjective;B2;vastuvõetav
access;Noun Verb;B1;juurdepääs
accident;Noun;A2;õnnetus
accommodation;Noun;B1;majutus
accompany;Verb;B2;kaasnema
according to;prep.;A2;vastavalt
account;Noun Verb;B1, B2;konto
accurate;Adjective;B2;täpne
accuse;Verb;B2;süüdistama
achieve;Verb;A2;saavutama
achievement;Noun;B1;saavutus
acknowledge;Verb;B2;sain
acquire;Verb;B2;omandavad
across;prep. Adverb;A1;üle
act;Verb Noun;A2,B1;tegutseda
action;Noun;A1;tegevus
active;Adjective;A2;aktiivne
activity;Noun;A1;tegevus
actor;Noun;A1;näitleja
actress;Noun;A1;näitleja
actual;Adjective;B2;tegelik
actually;Adverb;A2;tegelikult
ad;Noun;B1;reklaam
adapt;Verb;B2;kohanema
add;Verb;A1;lisama
addition;Noun;B1;lisamine
additional;Adjective;B2;lisaks
address;Noun Verb;A1,B2;aadress
administration;Noun;B2;haldus
admire;Verb;B1;imetlen
admit;Verb;B1;tunnistama
adopt;Verb;B2;vastu võtma
adult;Noun adj;A1,A2;täiskasvanud
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;kaugelearenenud
Advantage;Noun;A2;eelis
Adventure;Noun;A2;seiklus
Advertise;Verb;A2;Reklaamima
Advertisement;Noun;A2;reklaam
Advertising;Noun;A2;reklaam
Advice;Noun Verb;A1, B1;Nõuanne
affair;Noun;B2;asi
affect;Verb;A2;mõjutama
afford;Verb;B1;endale
afraid;Adjective;A1;kahjuks
after;prep. conj. Adverb;A1,A2;pärast
afternoon;Noun;A1;pärastlõuna
afterwards;Adverb;B2;pärast
again;Adverb;A1;uuesti
against;prep;A2;vastu
age;Noun Verb;A1, B1;vanus
aged;Adjective;B1;vananenud
agency;Noun;B2;agentuur
agenda;Noun;B2;päevakord
agent;Noun;B1;agent
aggressive;Adjective;B2;agressiivne
ago;Adverb;A1;tagasi
agree;Verb;A1;nõustuma
agreement;Noun;B1;kokkulepe
ah;exclam.;A2;ah
ahead;Adverb;B1;ees
aid;Noun Verb;B2;abi
aim;Verb Noun;B1;eesmärk
air;Noun;A1;õhk
aircraft;Noun;B2;lennuk
airline;Noun;A2;lennukompanii
airport;Noun;A1;lennujaam
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;alkohoolne
alive;Adjective;A2;elus
all;det. pron, Adverb;A1, A2;kõik
all right;Adjective, Adverb exclam;A2;hästi
allow;Verb;A2;lubama
almost;Adverb;A2;peaaegu
alone;Adjective, Adverb;A2;üksi
along;prep. Adverb;A2;piki
already;Adverb;A2;juba
also;Adverb;A1;ka
alter;Verb;B2;Alter
alternative;Noun Adjective;A2, B1;alternatiiv
although;conj;A2;kuigi
always;Adverb;A1;alati
amazed;Adjective;B1;üllatunud
amazing;Adjective;A1;hämmastav
ambition;Noun;B1;soov
ambitious;Adjective;B1;edasipüüdlik
among;prep.;A2;seas
amount;Noun Verb;A2, B2;summa
analyse;Verb;B1;analüüsima
analysis;Noun;B1;analüüs
ancient;Adjective;A2;iidne
and;conj;A1;ja
anger;Noun;B2;viha
angle;Noun;B2;nurk
angry;Adjective;A1;vihane
animal;Noun;A1;loom
ankle;Noun;A2;pahkluu
anniversary;Noun;B2;aastapäev
announce;Verb;B1;teatama
announcement;Noun;B1;teadaanne
annoy;Verb;B1;tüütama
annoyed;Adjective;B1;pahane
annoying;Adjective;B1;tüütu
annual;Adjective;B2;aastane
another;det. proNoun;A1;teine
answer;Noun Verb;A1;vastus
anxious;Adjective;B2;murelik
any;det. proNoun, Adverb;A1, A2;mistahes
anybody;pron;A2;keegi
any more;Adverb;A2;enam
anyone;pron;A1;keegi
anything;pron;A1;midagi
anyway;Adverb;A2;niikuinii
anywhere;AdVerb proNoun;A2;kõikjal
apart;Adverb;B1;lahus
apartment;Noun;A1;korter
apologize;Verb;B1;vabandust paluma
app;Noun;A2;rakenduse
apparent;Adjective;B2;ilmne
apparently;Adverb;B2;ilmselt
appeal;Noun Verb;B2;kaebus
appear;Verb;A2;ilmuma
appearance;Noun;A2;välimus
apple;Noun;A1;õun
application;Noun;B1;taotlus
apply;Verb;A2;kehtima
appointment;Noun;B1;nimetamine
appreciate;Verb;B1;hindama
approach;Noun Verb;B2;lähenemine
appropriate;Adjective;B2;omastada
approval;Noun;B2;heakskiit
approve;Verb;B2;kinnitama
approximately;Adverb;B1;umbes
April;Noun;A1;aprill
architect;Noun;A2;arhitekt
architecture;Noun;A2;arhitektuur
area;Noun;A1;piirkond
argue;Verb;A2;vaidlema
argument;Noun;A2;argument
arise;Verb;B2;tekkima
arm;Noun;A1;arm
armed;Adjective;B2;relvastatud
arms;Noun;B2;relvad
army;Noun;A2;armee
around;prep. Adverb;A1;ümber
arrange;Verb;A2;korraldama
arrangement;Noun;A2;kokkulepe
arrest;Verb Noun;B1;vahistama
arrival;Noun;B1;saabumine
arrive;Verb;A1;saabuma
art;Noun;A1;kunst
article;Noun;A1;artikkel
artificial;Adjective;B2;kunstlik
artist;Noun;A1;kunstnik
artistic;Adjective;B2;kunstiline
as;prep., Adverb conj.;A1, A2;nagu
ashamed;Adjective;B2;on häbi
asleep;Adjective;A2;magama
ask;Verb;A1;küsima
aspect;Noun;B2;aspekt
assess;Verb;B2;hindama
assessment;Noun;B2;hindamine
assignment;Noun;B1;loovutamine
assist;Verb;B1;abistama
assistant;Noun Adjective;A2;assistent
associate;Verb;B2;partner
associated;Adjective;B2;assotsieerunud
association;Noun;B2;ühing
assume;Verb;B2;eeldama
at;prep.;A1;juures
athlete;Noun;A2;sportlane
atmosphere;Noun;B1;atmosfäär
attach;Verb;B1;kinnitama
attack;Noun Verb;A2;rünnak
attempt;Noun Verb;B2;püüdke
