a, an;indefinite, article;A1;တစ်ဦးတစ်ဦး
abandon;Verb;B2;စွန့်ပစ်
ability;Noun;A2;စွမ်းအား
able;Adjective;A2;တတ်နိုင်
about;prep. Adverb;A1;အကွောငျး
above;prep. Adverb;A1;အထက်
abroad;Adverb;A2;ပြည်ပမှာ
absolute;Adjective;B2;အကြွင်းမဲ့အာဏာ
absolutely;Adverb;B1;အကြွင်းမဲ့
academic;adj, Noun;B1, B2;ပညာရေးဆိုင်ရာ
accept;Verb;A2;accept
acceptable;Adjective;B2;လက်ခံနိုင်ဖွယ်
access;Noun Verb;B1;ဝင်ရောက်ခွင့်
accident;Noun;A2;မတော်တဆထိခိုက်မှု
accommodation;Noun;B1;နေရာထိုင်ခင်း
accompany;Verb;B2;အတူလိုက်
according to;prep.;A2;အဆိုအရ
account;Noun Verb;B1, B2;အကောင့်
accurate;Adjective;B2;တိကျမှု
accuse;Verb;B2;စှပျစှဲ
achieve;Verb;A2;အောင်မြင်ရန်
achievement;Noun;B1;အောင်မြင်ချက်
acknowledge;Verb;B2;ဝန်ခံချက်
acquire;Verb;B2;ရယူ
across;prep. Adverb;A1;ဖြတ်.
act;Verb Noun;A2,B1;လုပ်ရပ်
action;Noun;A1;အရေးယူ
active;Adjective;A2;တက်ကြွ
activity;Noun;A1;လှုပ်ရှားမှု
actor;Noun;A1;သရုပ်ဆောင်
actress;Noun;A1;ဇါတ်သူမ
actual;Adjective;B2;အမှန်တကယ်
actually;Adverb;A2;အမှန်တကယ်
ad;Noun;B1;ကြော်ငြာ
adapt;Verb;B2;သငျ့လျြောအောငျပွုပွငျ
add;Verb;A1;add
addition;Noun;B1;ထို့အပြင်
additional;Adjective;B2;အပိုဆောင်း
address;Noun Verb;A1,B2;လိပ်စာ
administration;Noun;B2;အုပ်ချုပ်ရေး
admire;Verb;B1;မြတ်နိုး
admit;Verb;B1;ဖွောငျ့ဆို
adopt;Verb;B2;ခံယူ
adult;Noun adj;A1,A2;အရွယ်ရောက်ပြီးသူ
Advance;Noun Verb adj;B2;ကြိုတင်မဲ
Advanced;Adjective;B1;အဆင့်မြင့်
Advantage;Noun;A2;အားသာချက်
Adventure;Noun;A2;အဖြစ်အပျက်
Advertise;Verb;A2;ကျွွောငာ
Advertisement;Noun;A2;ကြော်ငြာ
Advertising;Noun;A2;Advertising ကြော်ငြာ
Advice;Noun Verb;A1, B1;အကြံ
affair;Noun;B2;ကိစ္စ
affect;Verb;A2;ထိခိုက်
afford;Verb;B1;ပြုနိုင်ခွင့်ရှိ
afraid;Adjective;A1;ကွောကျသော
after;prep. conj. Adverb;A1,A2;ပြီးနောက်
afternoon;Noun;A1;မှနျးလှဲ
afterwards;Adverb;B2;ထိုနောက်
again;Adverb;A1;နောက်တဖန်
against;prep;A2;ဆန့်ကျင်
age;Noun Verb;A1, B1;အသက်အရွယ်
aged;Adjective;B1;အသက်
agency;Noun;B2;ကိုယ်စားလှယ်ရုံး
agenda;Noun;B2;ကိစ္စအစီအစဉ်
agent;Noun;B1;ကိုယ်စားလှယ်
aggressive;Adjective;B2;ကြူးကျြောသော
ago;Adverb;A1;လွန်ခဲ့တဲ့
agree;Verb;A1;သဘောတူ
agreement;Noun;B1;သဘောတူညီချက်
ah;exclam.;A2;ah
ahead;Adverb;B1;ရှေ့သို့
aid;Noun Verb;B2;အကူအညီ
aim;Verb Noun;B1;ရည်ရွယ်ချက်
air;Noun;A1;လေ
aircraft;Noun;B2;လေယာဉ်ပျံ
airline;Noun;A2;လကွောငျး
airport;Noun;A1;လေဆိပ်
alarm;Noun Verb;B1, B2;နှိုးသံ
album;Noun;B1;အယ်လ်ဘမ်
alcohol;Noun;B1;အရက်
alcoholic;Adjective;B1;အရက်သမား
alive;Adjective;A2;အသကျရှငျ
all;det. pron, Adverb;A1, A2;အားလုံး
all right;Adjective, Adverb exclam;A2;ကောင်းပါပြီ
allow;Verb;A2;ခွင့်ပြု
almost;Adverb;A2;နီးပါး
alone;Adjective, Adverb;A2;တယောက်တည်း
along;prep. Adverb;A2;တလြှောကျ
already;Adverb;A2;ပြီးပြီ
also;Adverb;A1;လည်း
alter;Verb;B2;ALTER
alternative;Noun Adjective;A2, B1;အခြားရွေးချယ်စရာ
although;conj;A2;ပေမဲ့
always;Adverb;A1;အမြဲ
amazed;Adjective;B1;မိန်းမောတွေဝေ
amazing;Adjective;A1;အံ့သြဖွယ်
ambition;Noun;B1;ကြီးသောအာသီသ
ambitious;Adjective;B1;ဆန္ဒကြီးမားသော
among;prep.;A2;အနက်
amount;Noun Verb;A2, B2;ငွေပမာဏ
analyse;Verb;B1;သုံးသပ်ကြည့်ရှု
analysis;Noun;B1;ခွဲခြမ်းစိတ်ဖြာခြင်း
ancient;Adjective;A2;ရှေးခေတ်
and;conj;A1;နှင့်
anger;Noun;B2;အမျက်ဒေါသ
angle;Noun;B2;ထောင့်
angry;Adjective;A1;အမျက်ထွက်သော
animal;Noun;A1;တိရိစ္ဆာန်
ankle;Noun;A2;ခြေချင်းဝတ်
anniversary;Noun;B2;နျစ်ပတ်လည်နေ့
announce;Verb;B1;ကွေညာ
announcement;Noun;B1;ကြေညာချက်
annoy;Verb;B1;စိတ်ဆိုးစေ
annoyed;Adjective;B1;မကျေမနပ်
annoying;Adjective;B1;စိတ်ဆိုးစေသော
annual;Adjective;B2;နှစ်ပတ်လည်
another;det. proNoun;A1;အခြား
answer;Noun Verb;A1;အဖွေ
anxious;Adjective;B2;စိုးရိမ်ခြင်းရှိသော
any;det. proNoun, Adverb;A1, A2;မည်သည့်
anybody;pron;A2;တယောက်ယောက်
any more;Adverb;A2;နောက်တဖန်
anyone;pron;A1;မည်သူမဆို
anything;pron;A1;တခုခု
anyway;Adverb;A2;မည်သို့ပင်ဖြစ်စေ
anywhere;AdVerb proNoun;A2;ဘယ်နေရာမှာမဆို
apart;Adverb;B1;မပါဘဲ
apartment;Noun;A1;အခန်း
apologize;Verb;B1;ထုခတြောငျးပနျ
app;Noun;A2;app ကို
apparent;Adjective;B2;မြင်လွယ်သော
apparently;Adverb;B2;ထင်ရှားစွာ
appeal;Noun Verb;B2;အယူခံဝင်
appear;Verb;A2;ပေါ်လာ
appearance;Noun;A2;အသွင်အပြင်
apple;Noun;A1;ပန်းသီး
application;Noun;B1;လြှောကျလှာ
apply;Verb;A2;လျှောက်ထား
appointment;Noun;B1;ရက်ချိန်း
appreciate;Verb;B1;တန်ဖိုးထား
approach;Noun Verb;B2;ချဉ်းကပ်နည်း
appropriate;Adjective;B2;သင့်လျော်သော
approval;Noun;B2;ခွင့်ပြုချက်
approve;Verb;B2;အတည်ပြု
approximately;Adverb;B1;ခန့်မှန်းခြေအားဖြင့်
April;Noun;A1;ဧပြီလ
architect;Noun;A2;ဗိသုကာ
architecture;Noun;A2;ဗိသုကာအတတ်ပညာ
area;Noun;A1;ဧရိယာ
argue;Verb;A2;ဆငျခွေကနျ
argument;Noun;A2;ဆငျခွေစကား
arise;Verb;B2;ပေါ်ပေါက်
arm;Noun;A1;လက်
armed;Adjective;B2;လက်နက်ကိုင်
arms;Noun;B2;လက်နက်
army;Noun;A2;တပ်မတော်
around;prep. Adverb;A1;လှည့်ပတ်
arrange;Verb;A2;စီစဉ်
arrangement;Noun;A2;အစီအစဉ်
arrest;Verb Noun;B1;ဖမ်းဆီး
arrival;Noun;B1;ရောက်လာခြင်း
arrive;Verb;A1;ရောက်လာ
art;Noun;A1;အတတ်ပညာ
article;Noun;A1;ဆောင်းပါး
artificial;Adjective;B2;ပကတိမဟုတ်လူလုပ်သော
artist;Noun;A1;အနုပညာရှင်
artistic;Adjective;B2;အနုညာဆိုင်ရာ
