a, an;indefinite, article;A1;สระ
abandon;Verb;B2;ละทิ้ง
ability;Noun;A2;ความสามารถ
able;Adjective;A2;สามารถ
about;prep. Adverb;A1;เกี่ยวกับ
above;prep. Adverb;A1;ข้างบน
abroad;Adverb;A2;ในต่างประเทศ
absolute;Adjective;B2;แน่นอน
absolutely;Adverb;B1;อย่างแน่นอน
academic;adj, Noun;B1, B2;วิชาการ
accept;Verb;A2;ยอมรับ
acceptable;Adjective;B2;ยอมรับได้
access;Noun Verb;B1;เข้าไป
accident;Noun;A2;อุบัติเหตุ
accommodation;Noun;B1;ที่พัก
accompany;Verb;B2;มากับ
according to;prep.;A2;ตาม
account;Noun Verb;B1, B2;บัญชีผู้ใช้
accurate;Adjective;B2;ถูกต้อง
accuse;Verb;B2;กล่าวโทษ
achieve;Verb;A2;บรรลุ
achievement;Noun;B1;ความสำเร็จ
acknowledge;Verb;B2;รับทราบ
acquire;Verb;B2;ซื้อ
across;prep. Adverb;A1;ข้าม
act;Verb Noun;A2,B1;ทำหน้าที่
action;Noun;A1;หนังบู๊
active;Adjective;A2;คล่องแคล่ว
activity;Noun;A1;กิจกรรม
actor;Noun;A1;นักแสดงชาย
actress;Noun;A1;นักแสดงหญิง
actual;Adjective;B2;ที่จริง
actually;Adverb;A2;แท้จริง
ad;Noun;B1;การโฆษณา
adapt;Verb;B2;ปรับ
add;Verb;A1;เพิ่ม
addition;Noun;B1;ส่วนที่เพิ่มเข้าไป
additional;Adjective;B2;เพิ่มเติม
address;Noun Verb;A1,B2;ที่อยู่
administration;Noun;B2;การบริหาร
admire;Verb;B1;ชื่นชม
admit;Verb;B1;ยอมรับ
adopt;Verb;B2;นำมาใช้
adult;Noun adj;A1,A2;ผู้ใหญ่
Advance;Noun Verb adj;B2;แอ็ดวานซ์
Advanced;Adjective;B1;สูง
Advantage;Noun;A2;ความได้เปรียบ
Adventure;Noun;A2;การผจญภัย
Advertise;Verb;A2;โฆษณา
Advertisement;Noun;A2;การโฆษณา
Advertising;Noun;A2;การโฆษณา
Advice;Noun Verb;A1, B1;คำแนะนำ
affair;Noun;B2;เรื่อง
affect;Verb;A2;มีผลต่อ
afford;Verb;B1;จ่าย
afraid;Adjective;A1;เกรงกลัว
after;prep. conj. Adverb;A1,A2;หลังจาก
afternoon;Noun;A1;ตอนบ่าย
afterwards;Adverb;B2;ภายหลัง
again;Adverb;A1;อีกครั้ง
against;prep;A2;ต่อต้าน
age;Noun Verb;A1, B1;อายุ
aged;Adjective;B1;มีอายุ
agency;Noun;B2;หน่วยงาน
agenda;Noun;B2;ระเบียบวาระการประชุม
agent;Noun;B1;ตัวแทน
aggressive;Adjective;B2;ก้าวร้าว
ago;Adverb;A1;มาแล้ว
agree;Verb;A1;ตกลง
agreement;Noun;B1;ข้อตกลง
ah;exclam.;A2;อา
ahead;Adverb;B1;ล่วงหน้า
aid;Noun Verb;B2;ช่วยเหลือ
aim;Verb Noun;B1;จุดมุ่งหมาย
air;Noun;A1;อากาศ
aircraft;Noun;B2;อากาศยาน
airline;Noun;A2;สายการบิน
airport;Noun;A1;สนามบิน
alarm;Noun Verb;B1, B2;สัญญาณเตือนภัย
album;Noun;B1;อัลบั้ม
alcohol;Noun;B1;แอลกอฮอล์
alcoholic;Adjective;B1;มีส่วนผสมของแอลกอฮอล์
alive;Adjective;A2;มีชีวิตอยู่
all;det. pron, Adverb;A1, A2;ทั้งหมด
all right;Adjective, Adverb exclam;A2;ถูกต้อง
allow;Verb;A2;อนุญาต
almost;Adverb;A2;เกือบจะ
alone;Adjective, Adverb;A2;คนเดียว
along;prep. Adverb;A2;ตาม
already;Adverb;A2;แล้ว
also;Adverb;A1;ด้วย
alter;Verb;B2;แก้ไข
alternative;Noun Adjective;A2, B1;ทางเลือก
although;conj;A2;แม้ว่า
always;Adverb;A1;เสมอ
amazed;Adjective;B1;ประหลาดใจ
amazing;Adjective;A1;น่าอัศจรรย์
ambition;Noun;B1;ความทะเยอทะยาน
ambitious;Adjective;B1;ทะเยอทะยาน
among;prep.;A2;ในหมู่
amount;Noun Verb;A2, B2;จำนวน
analyse;Verb;B1;วิเคราะห์
analysis;Noun;B1;การวิเคราะห์
ancient;Adjective;A2;โบราณ
and;conj;A1;และ
anger;Noun;B2;ความโกรธ
angle;Noun;B2;มุม
angry;Adjective;A1;โกรธ
animal;Noun;A1;สัตว์
ankle;Noun;A2;ข้อเท้า
anniversary;Noun;B2;วันครบรอบ
announce;Verb;B1;ประกาศ
announcement;Noun;B1;การประกาศ
annoy;Verb;B1;รบกวน
annoyed;Adjective;B1;รำคาญ
annoying;Adjective;B1;น่ารำคาญ
annual;Adjective;B2;ประจำปี
another;det. proNoun;A1;อื่น
answer;Noun Verb;A1;ตอบ
anxious;Adjective;B2;กระวนกระวาย
any;det. proNoun, Adverb;A1, A2;ใด
anybody;pron;A2;ใคร ๆ
any more;Adverb;A2;ใด ๆ เพิ่มเติม
anyone;pron;A1;ใคร ๆ
anything;pron;A1;สิ่งใด
anyway;Adverb;A2;อย่างไรก็ตาม
anywhere;AdVerb proNoun;A2;ทุกแห่ง
apart;Adverb;B1;ต่างหาก
apartment;Noun;A1;อพาร์ทเม้น
apologize;Verb;B1;ขอโทษ
app;Noun;A2;แอป
apparent;Adjective;B2;เห็นได้ชัด
apparently;Adverb;B2;เด่นชัด
appeal;Noun Verb;B2;อุทธรณ์
appear;Verb;A2;ปรากฏ
appearance;Noun;A2;การปรากฏ
apple;Noun;A1;แอปเปิ้ล
application;Noun;B1;ใบสมัคร
apply;Verb;A2;ใช้
appointment;Noun;B1;การแต่งตั้ง
appreciate;Verb;B1;ซาบซึ้ง
approach;Noun Verb;B2;เข้าใกล้
