a, an;indefinite, article;A1;a, bir
abandon;Verb;B2;imtina
ability;Noun;A2;bacarıq
able;Adjective;A2;qadir
about;prep. Adverb;A1;haqqında
above;prep. Adverb;A1;yuxarıda
abroad;Adverb;A2;xaricdə
absolute;Adjective;B2;mütləq
absolutely;Adverb;B1;tamamilə
academic;adj, Noun;B1, B2;akademik
accept;Verb;A2;qəbul
acceptable;Adjective;B2;məqbul
access;Noun Verb;B1;Giriş
accident;Noun;A2;qəza
accommodation;Noun;B1;yaşayış
accompany;Verb;B2;müşayiət
according to;prep.;A2;görə
account;Noun Verb;B1, B2;hesab
accurate;Adjective;B2;dəqiq
accuse;Verb;B2;ittiham etmək
achieve;Verb;A2;nail olmaq
achievement;Noun;B1;nailiyyət
acknowledge;Verb;B2;acknowledge
acquire;Verb;B2;əldə etmek
across;prep. Adverb;A1;üzrə
act;Verb Noun;A2,B1;hərəkət
action;Noun;A1;fəaliyyət
active;Adjective;A2;aktiv
activity;Noun;A1;aktivlik
actor;Noun;A1;aktyor
actress;Noun;A1;aktrisa
actual;Adjective;B2;faktiki
actually;Adverb;A2;həqiqətən
ad;Noun;B1;reklam
adapt;Verb;B2;uyğunlaşdırmaq
add;Verb;A1;əlavə etmək
addition;Noun;B1;əlavə
additional;Adjective;B2;əlavə
address;Noun Verb;A1,B2;ünvan
administration;Noun;B2;rəhbərliyi
admire;Verb;B1;heyran
admit;Verb;B1;etiraf etmək
adopt;Verb;B2;mənimsəmək
adult;Noun adj;A1,A2;adult
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;qabaqcıl
Advantage;Noun;A2;fayda
Adventure;Noun;A2;macəra
Advertise;Verb;A2;reklam etmək
Advertisement;Noun;A2;reklam
Advertising;Noun;A2;reklam
Advice;Noun Verb;A1, B1;məsləhət
affair;Noun;B2;iş
affect;Verb;A2;təsir
afford;Verb;B1;ödəyə
afraid;Adjective;A1;qorxur
after;prep. conj. Adverb;A1,A2;sonra
afternoon;Noun;A1;günortadan sonra
afterwards;Adverb;B2;sonra
