a, an;indefinite, article;A1;um, um
abandon;Verb;B2;abandono
ability;Noun;A2;habilidade
able;Adjective;A2;capaz
about;prep. Adverb;A1;sobre
above;prep. Adverb;A1;acima
abroad;Adverb;A2;no exterior
absolute;Adjective;B2;absoluto
absolutely;Adverb;B1;absolutamente
academic;adj, Noun;B1, B2;acadêmico
accept;Verb;A2;aceitar
acceptable;Adjective;B2;aceitável
access;Noun Verb;B1;Acesso
accident;Noun;A2;acidente
accommodation;Noun;B1;alojamento
accompany;Verb;B2;acompanhar
according to;prep.;A2;de acordo com
account;Noun Verb;B1, B2;conta
accurate;Adjective;B2;preciso
accuse;Verb;B2;acusar
achieve;Verb;A2;alcançar
achievement;Noun;B1;realização
acknowledge;Verb;B2;reconhecer
acquire;Verb;B2;adquirir
across;prep. Adverb;A1;através
act;Verb Noun;A2,B1;Aja
action;Noun;A1;açao
active;Adjective;A2;ativo
activity;Noun;A1;atividade
actor;Noun;A1;ator
actress;Noun;A1;atriz
actual;Adjective;B2;real
actually;Adverb;A2;na realidade
ad;Noun;B1;de Anúncios
adapt;Verb;B2;adaptar
add;Verb;A1;adicionar
addition;Noun;B1;Adição
additional;Adjective;B2;adicional
address;Noun Verb;A1,B2;endereço
administration;Noun;B2;administração
admire;Verb;B1;admirar
admit;Verb;B1;Admitem
adopt;Verb;B2;adotar
adult;Noun adj;A1,A2;adulto
Advance;Noun Verb adj;B2;Avançar
Advanced;Adjective;B1;avançado
Advantage;Noun;A2;Vantagem
Adventure;Noun;A2;Aventura
Advertise;Verb;A2;Anunciar
Advertisement;Noun;A2;Propaganda
Advertising;Noun;A2;Publicidade
Advice;Noun Verb;A1, B1;Adendo
affair;Noun;B2;caso
affect;Verb;A2;afetar
afford;Verb;B1;proporcionar
afraid;Adjective;A1;receoso
after;prep. conj. Adverb;A1,A2;depois de
afternoon;Noun;A1;tarde
afterwards;Adverb;B2;mais tarde
again;Adverb;A1;novamente
against;prep;A2;contra
age;Noun Verb;A1, B1;era
aged;Adjective;B1;idoso
agency;Noun;B2;agência
agenda;Noun;B2;agenda
agent;Noun;B1;agente
aggressive;Adjective;B2;agressivo
ago;Adverb;A1;atrás
agree;Verb;A1;aceita
agreement;Noun;B1;acordo
ah;exclam.;A2;ah
ahead;Adverb;B1;adiante
aid;Noun Verb;B2;ajuda
aim;Verb Noun;B1;alvo
air;Noun;A1;ar
aircraft;Noun;B2;aeronave
airline;Noun;A2;CIA aérea
airport;Noun;A1;aeroporto
alarm;Noun Verb;B1, B2;alarme
album;Noun;B1;álbum
alcohol;Noun;B1;álcool
alcoholic;Adjective;B1;alcoólico
alive;Adjective;A2;vivo
all;det. pron, Adverb;A1, A2;tudo
all right;Adjective, Adverb exclam;A2;Tudo certo
allow;Verb;A2;permitir
almost;Adverb;A2;quase
alone;Adjective, Adverb;A2;sozinho
along;prep. Adverb;A2;ao longo
already;Adverb;A2;já
also;Adverb;A1;Além disso
alter;Verb;B2;alterar
alternative;Noun Adjective;A2, B1;alternativo
although;conj;A2;Apesar
always;Adverb;A1;sempre
amazed;Adjective;B1;maravilhado
amazing;Adjective;A1;surpreendente
ambition;Noun;B1;ambição
ambitious;Adjective;B1;ambicioso
among;prep.;A2;entre
amount;Noun Verb;A2, B2;montante
analyse;Verb;B1;analisar
analysis;Noun;B1;análise
ancient;Adjective;A2;antigo
and;conj;A1;e
anger;Noun;B2;raiva
angle;Noun;B2;ângulo
angry;Adjective;A1;Bravo
animal;Noun;A1;animal
ankle;Noun;A2;tornozelo
anniversary;Noun;B2;aniversário
announce;Verb;B1;anunciar
announcement;Noun;B1;anúncio
annoy;Verb;B1;incomodar
annoyed;Adjective;B1;aborrecido
annoying;Adjective;B1;irritante
annual;Adjective;B2;anual
another;det. proNoun;A1;outro
answer;Noun Verb;A1;responda
anxious;Adjective;B2;ansioso
any;det. proNoun, Adverb;A1, A2;qualquer
anybody;pron;A2;qualquer pessoa
any more;Adverb;A2;não mais
anyone;pron;A1;qualquer um
anything;pron;A1;qualquer coisa
anyway;Adverb;A2;de qualquer forma
anywhere;AdVerb proNoun;A2;qualquer lugar
apart;Adverb;B1;à parte
apartment;Noun;A1;apartamento
apologize;Verb;B1;peça desculpas
