a, an;indefinite, article;A1;एक, एक
abandon;Verb;B2;त्याग्न
ability;Noun;A2;क्षमता
able;Adjective;A2;सक्षम
about;prep. Adverb;A1;बारेमा
above;prep. Adverb;A1;माथि
abroad;Adverb;A2;विदेश
absolute;Adjective;B2;निरपेक्ष
absolutely;Adverb;B1;बिल्कुल
academic;adj, Noun;B1, B2;शैक्षिक
accept;Verb;A2;स्वीकार
acceptable;Adjective;B2;स्वीकार्य
access;Noun Verb;B1;पहुँच
accident;Noun;A2;दुर्घटना
accommodation;Noun;B1;आवास
accompany;Verb;B2;साथ दिनु
according to;prep.;A2;यस अनुसार
account;Noun Verb;B1, B2;खाता
accurate;Adjective;B2;सही
accuse;Verb;B2;आरोप
achieve;Verb;A2;प्राप्त
achievement;Noun;B1;उपलब्धि
acknowledge;Verb;B2;स्वीकार
acquire;Verb;B2;अधिग्रहण
across;prep. Adverb;A1;मार्फत
act;Verb Noun;A2,B1;कार्य
action;Noun;A1;कार्य
active;Adjective;A2;सक्रिय
activity;Noun;A1;गतिविधि
actor;Noun;A1;अभिनेता
actress;Noun;A1;अभिनेत्री
actual;Adjective;B2;वास्तविक
actually;Adverb;A2;वास्तवमा
ad;Noun;B1;विज्ञापन
adapt;Verb;B2;अनुकूल
add;Verb;A1;थप
addition;Noun;B1;साथै
additional;Adjective;B2;थप
address;Noun Verb;A1,B2;ठेगाना
administration;Noun;B2;प्रशासन
admire;Verb;B1;एडमाएर
admit;Verb;B1;स्वीकार
adopt;Verb;B2;अपनाउने
adult;Noun adj;A1,A2;वयस्क
Advance;Noun Verb adj;B2;अग्रिम
Advanced;Adjective;B1;विकसित
Advantage;Noun;A2;फाइदा
Adventure;Noun;A2;साहसिक
Advertise;Verb;A2;विज्ञापन
Advertisement;Noun;A2;विज्ञापन
Advertising;Noun;A2;विज्ञापन
Advice;Noun Verb;A1, B1;सल्लाह
affair;Noun;B2;सम्बन्ध
affect;Verb;A2;असर
afford;Verb;B1;उठयो
afraid;Adjective;A1;डर
after;prep. conj. Adverb;A1,A2;पछि
afternoon;Noun;A1;दिउँसो
afterwards;Adverb;B2;पछि
again;Adverb;A1;फेरि
against;prep;A2;विरुद्ध
age;Noun Verb;A1, B1;उमेर
aged;Adjective;B1;वृद्ध
agency;Noun;B2;एजेन्सी
agenda;Noun;B2;एजेन्डा
agent;Noun;B1;एजेन्ट
aggressive;Adjective;B2;आक्रामक
ago;Adverb;A1;पहिले
agree;Verb;A1;सहमत
agreement;Noun;B1;सम्झौता
ah;exclam.;A2;आह
ahead;Adverb;B1;अगाडि
aid;Noun Verb;B2;सहायता
aim;Verb Noun;B1;उद्देश्य
air;Noun;A1;हावा
aircraft;Noun;B2;विमान
airline;Noun;A2;विमान
airport;Noun;A1;विमानस्थल
alarm;Noun Verb;B1, B2;अलार्म
album;Noun;B1;एल्बम
alcohol;Noun;B1;रक्सी
alcoholic;Adjective;B1;मादक
alive;Adjective;A2;जीवित
all;det. pron, Adverb;A1, A2;सबै
all right;Adjective, Adverb exclam;A2;सबै सही
allow;Verb;A2;अनुमति
almost;Adverb;A2;लगभग
alone;Adjective, Adverb;A2;एक्लै
along;prep. Adverb;A2;साथ
already;Adverb;A2;पहिले नै
also;Adverb;A1;पनि
alter;Verb;B2;Alter
alternative;Noun Adjective;A2, B1;वैकल्पिक
although;conj;A2;हुनत
always;Adverb;A1;सधैं
amazed;Adjective;B1;छक्क
amazing;Adjective;A1;अचम्मको
ambition;Noun;B1;अभिलाषा
ambitious;Adjective;B1;घमन्डी
among;prep.;A2;बीचमा
amount;Noun Verb;A2, B2;रकम
analyse;Verb;B1;विश्लेषण
analysis;Noun;B1;विश्लेषण
ancient;Adjective;A2;पुरातन
and;conj;A1;र
anger;Noun;B2;रिस
angle;Noun;B2;कोण
angry;Adjective;A1;क्रोधित
animal;Noun;A1;पशु
ankle;Noun;A2;टखने
anniversary;Noun;B2;वार्षिकोत्सव
announce;Verb;B1;घोषणा
announcement;Noun;B1;घोषणा
annoy;Verb;B1;परेशान
annoyed;Adjective;B1;नाराज
annoying;Adjective;B1;कष्टप्रद
annual;Adjective;B2;वार्षिक
another;det. proNoun;A1;अर्को
answer;Noun Verb;A1;जवाफ
anxious;Adjective;B2;चिन्तित
any;det. proNoun, Adverb;A1, A2;कुनै पनि
anybody;pron;A2;जो कोहि
any more;Adverb;A2;अरु केहि
anyone;pron;A1;जो कोहीले
anything;pron;A1;केहि
anyway;Adverb;A2;जे भए पनि
anywhere;AdVerb proNoun;A2;कहीं
apart;Adverb;B1;अलग
apartment;Noun;A1;घर
apologize;Verb;B1;क्षमा चाहन्छौं
app;Noun;A2;अनुप्रयोग
apparent;Adjective;B2;स्पष्ट
apparently;Adverb;B2;स्पष्ट
appeal;Noun Verb;B2;पुनरावेदन
appear;Verb;A2;देखा
appearance;Noun;A2;उपस्थिति
apple;Noun;A1;स्याऊ
application;Noun;B1;आवेदन
apply;Verb;A2;निवेदन गर्नु
appointment;Noun;B1;नियुक्ति
appreciate;Verb;B1;कदर गर्छौं
approach;Noun Verb;B2;दृष्टिकोण
appropriate;Adjective;B2;उपयुक्त
approval;Noun;B2;अनुमोदन
approve;Verb;B2;अनुमोदन
approximately;Adverb;B1;लगभग
April;Noun;A1;अप्रिल
architect;Noun;A2;नक्शा वा रुपरेखा तयार पार्ने व्यक्ति
architecture;Noun;A2;वास्तुकला
area;Noun;A1;क्षेत्र
argue;Verb;A2;तर्क
argument;Noun;A2;तर्क
arise;Verb;B2;उत्पन्न
arm;Noun;A1;आर्म
armed;Adjective;B2;सशस्त्र
arms;Noun;B2;हतियार
army;Noun;A2;सेना
around;prep. Adverb;A1;वरिपरि
arrange;Verb;A2;व्यवस्था
arrangement;Noun;A2;व्यवस्था
arrest;Verb Noun;B1;पक्राउ
arrival;Noun;B1;आगमन
arrive;Verb;A1;आइपुग्छन्
art;Noun;A1;कला
article;Noun;A1;लेख
artificial;Adjective;B2;कृत्रिम
artist;Noun;A1;कलाकार
artistic;Adjective;B2;कलात्मक
as;prep., Adverb conj.;A1, A2;रूपमा
ashamed;Adjective;B2;लज्जित
asleep;Adjective;A2;सुतेको
ask;Verb;A1;सोध्नु
aspect;Noun;B2;पक्ष
assess;Verb;B2;आकलन
assessment;Noun;B2;मूल्यांकन
assignment;Noun;B1;जिम्मेवारी
assist;Verb;B1;सहयोग
assistant;Noun Adjective;A2;सहायक
associate;Verb;B2;एसोसिएट
