a, an;indefinite, article;A1;ஒரு, ஒரு
abandon;Verb;B2;கைவிட
ability;Noun;A2;திறன்
able;Adjective;A2;முடியும்
about;prep. Adverb;A1;பற்றி
above;prep. Adverb;A1;மேலே
abroad;Adverb;A2;வெளிநாட்டில்
absolute;Adjective;B2;அறுதி
absolutely;Adverb;B1;முற்றிலும்
academic;adj, Noun;B1, B2;கல்வி
accept;Verb;A2;ஏற்க
acceptable;Adjective;B2;ஏற்கத்தக்க
access;Noun Verb;B1;அணுகல்
accident;Noun;A2;விபத்து
accommodation;Noun;B1;விடுதி
accompany;Verb;B2;உடன்
according to;prep.;A2;படி
account;Noun Verb;B1, B2;கணக்கு
accurate;Adjective;B2;துல்லியமான
accuse;Verb;B2;குற்றம் சாட்ட
achieve;Verb;A2;அடைய
achievement;Noun;B1;சாதனை
acknowledge;Verb;B2;ஏற்பதன்
acquire;Verb;B2;அக்யூர்
across;prep. Adverb;A1;முழுவதும்
act;Verb Noun;A2,B1;நாடகம்
action;Noun;A1;நடவடிக்கை
active;Adjective;A2;செயலில்
activity;Noun;A1;செயல்பாடு
actor;Noun;A1;நடிகர்
actress;Noun;A1;நடிகை
actual;Adjective;B2;உண்மையான
actually;Adverb;A2;உண்மையில்
ad;Noun;B1;விளம்பரம்
adapt;Verb;B2;ஏற்ப
add;Verb;A1;கூட்டு
addition;Noun;B1;கூடுதலாக
additional;Adjective;B2;கூடுதல்
address;Noun Verb;A1,B2;முகவரி
administration;Noun;B2;நிர்வாகம்
admire;Verb;B1;ரசிக்கிறது
admit;Verb;B1;ஒப்புக்கொள்ள
adopt;Verb;B2;தத்தெடுக்க
adult;Noun adj;A1,A2;வயது
Advance;Noun Verb adj;B2;அட்வான்ஸ்
Advanced;Adjective;B1;மேம்படுத்தபட்ட
Advantage;Noun;A2;அனுகூல
Adventure;Noun;A2;சாகச
Advertise;Verb;A2;விளம்பரம்
Advertisement;Noun;A2;விளம்பரம்
Advertising;Noun;A2;விளம்பரப்படுத்தல்
Advice;Noun Verb;A1, B1;அறிவுரை
affair;Noun;B2;விவகாரம்
affect;Verb;A2;பாதிக்கும்
afford;Verb;B1;வாங்க
afraid;Adjective;A1;பயம்
after;prep. conj. Adverb;A1,A2;பிறகு
afternoon;Noun;A1;பிற்பகல்
afterwards;Adverb;B2;பின்னர்
again;Adverb;A1;மீண்டும்
against;prep;A2;எதிராக
age;Noun Verb;A1, B1;வயது
aged;Adjective;B1;வயது
