a, an;indefinite, article;A1;ਨੂੰ ਇੱਕ, ਇੱਕ
abandon;Verb;B2;ਨੂੰ ਛੱਡ
ability;Noun;A2;ਦੀ ਯੋਗਤਾ
able;Adjective;A2;ਯੋਗ
about;prep. Adverb;A1;ਬਾਰੇ
above;prep. Adverb;A1;ਉਪਰੋਕਤ
abroad;Adverb;A2;ਵਿਦੇਸ਼
absolute;Adjective;B2;ਅਸੀਮ
absolutely;Adverb;B1;ਬਿਲਕੁਲ
academic;adj, Noun;B1, B2;ਅਕਾਦਮਿਕ
accept;Verb;A2;ਨੂੰ ਸਵੀਕਾਰ
acceptable;Adjective;B2;ਸਵੀਕਾਰ
access;Noun Verb;B1;ਪਹੁੰਚ
accident;Noun;A2;ਹਾਦਸੇ
accommodation;Noun;B1;ਰਿਹਾਇਸ਼
accompany;Verb;B2;ਨਾਲ
according to;prep.;A2;ਇਸਦੇ ਅਨੁਸਾਰ
account;Noun Verb;B1, B2;ਖਾਤੇ
accurate;Adjective;B2;ਸਹੀ
accuse;Verb;B2;ਦੋਸ਼
achieve;Verb;A2;ਪ੍ਰਾਪਤ
achievement;Noun;B1;ਪ੍ਰਾਪਤੀ
acknowledge;Verb;B2;ਪਰਿਵਰਤਨ
acquire;Verb;B2;ਪ੍ਰਾਪਤ
across;prep. Adverb;A1;ਭਰ ਦੇ
act;Verb Noun;A2,B1;ਕੰਮ
action;Noun;A1;ਕਾਰਵਾਈ ਦੀ
active;Adjective;A2;ਸਰਗਰਮ
activity;Noun;A1;ਸਰਗਰਮੀ
actor;Noun;A1;ਅਭਿਨੇਤਾ
actress;Noun;A1;ਅਭਿਨੇਤਰੀ
actual;Adjective;B2;ਅਸਲ
actually;Adverb;A2;ਅਸਲ ਵਿੱਚ
ad;Noun;B1;ਵਿਗਿਆਪਨ
adapt;Verb;B2;ਅਨੁਕੂਲ
add;Verb;A1;ਨੂੰ ਜੋਡ਼ਨ
addition;Noun;B1;ਇਸ ਦੇ ਨਾਲ
additional;Adjective;B2;ਵਾਧੂ
address;Noun Verb;A1,B2;ਦਾ ਪਤਾ
administration;Noun;B2;ਪ੍ਰਸ਼ਾਸਨ
admire;Verb;B1;ਸਿਫਤ
admit;Verb;B1;ਸਵੀਕਾਰ
adopt;Verb;B2;ਗੋਦ ਲੈਣਾ
adult;Noun adj;A1,A2;ਬਾਲਗ
Advance;Noun Verb adj;B2;ਤਕਨੀਕੀ
Advanced;Adjective;B1;ਤਕਨੀਕੀ
Advantage;Noun;A2;ਫਾਇਦਾ
Adventure;Noun;A2;ਸਾਹਿਸਕ
Advertise;Verb;A2;ਇਸ਼ਤਿਹਾਰ
Advertisement;Noun;A2;ਵਿਗਿਆਪਨ
Advertising;Noun;A2;ਇਸ਼ਤਿਹਾਰਬਾਜ਼ੀ
Advice;Noun Verb;A1, B1;ਸਲਾਹ
affair;Noun;B2;ਮਾਮਲੇ
affect;Verb;A2;ਤੇ ਅਸਰ
afford;Verb;B1;ਬਰਦਾਸ਼ਤ
afraid;Adjective;A1;ਡਰ
after;prep. conj. Adverb;A1,A2;ਦੇ ਬਾਅਦ
afternoon;Noun;A1;ਦੁਪਹਿਰ
afterwards;Adverb;B2;ਬਾਅਦ ਵਿੱਚ
again;Adverb;A1;ਨੂੰ ਫਿਰ
against;prep;A2;ਦੇ ਖਿਲਾਫ
age;Noun Verb;A1, B1;ਉਮਰ ਦੇ
aged;Adjective;B1;ਉਮਰ
agency;Noun;B2;ਏਜੰਸੀ ਨੇ
agenda;Noun;B2;ਏਜੰਡਾ
agent;Noun;B1;ਏਜੰਟ
aggressive;Adjective;B2;ਹਮਲਾਵਰ
ago;Adverb;A1;ਪਹਿਲਾਂ
