a, an;indefinite, article;A1;a, an
abandon;Verb;B2;tanaasulaan
ability;Noun;A2;awoodda
able;Adjective;A2;awoodi
about;prep. Adverb;A1;ku saabsan
above;prep. Adverb;A1;kor ku xusan
abroad;Adverb;A2;dibadda
absolute;Adjective;B2;waadaxa
absolutely;Adverb;B1;gabi ahaanba
academic;adj, Noun;B1, B2;tacliimeed
accept;Verb;A2;aqbalaan
acceptable;Adjective;B2;la aqbali karo
access;Noun Verb;B1;helitaanka
accident;Noun;A2;shil
accommodation;Noun;B1;hoyga
accompany;Verb;B2;raaco
according to;prep.;A2;sida laga soo xigtay
account;Noun Verb;B1, B2;account
accurate;Adjective;B2;sax ah
accuse;Verb;B2;ashtakeeyaan
achieve;Verb;A2;gaaro
achievement;Noun;B1;achievement
acknowledge;Verb;B2;garanayaan
acquire;Verb;B2;wareegi
across;prep. Adverb;A1;guud ahaan
act;Verb Noun;A2,B1;fal
action;Noun;A1;tallaabo
active;Adjective;A2;firfircoon
activity;Noun;A1;waxqabad
actor;Noun;A1;actor
actress;Noun;A1;atariishada
actual;Adjective;B2;dhabta ah
actually;Adverb;A2;dhab ahaan
ad;Noun;B1;ad
adapt;Verb;B2;qabsado
add;Verb;A1;ku dar
addition;Noun;B1;Intaa waxaa dheer
additional;Adjective;B2;dheeraad ah
address;Noun Verb;A1,B2;cinwaanka
administration;Noun;B2;maamulka
admire;Verb;B1;bogi
admit;Verb;B1;galin
adopt;Verb;B2;anfaco
adult;Noun adj;A1,A2;dadka waaweyn
Advance;Noun Verb adj;B2;Advance
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;Advantage
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;Ku xayeysiiso
Advertisement;Noun;A2;Advertisement
Advertising;Noun;A2;advertising
Advice;Noun Verb;A1, B1;Advice
affair;Noun;B2;amarkooda
affect;Verb;A2;saamayn
afford;Verb;B1;awoodin
afraid;Adjective;A1;cabsan
after;prep. conj. Adverb;A1,A2;ka dib
afternoon;Noun;A1;galabtii
afterwards;Adverb;B2;ka dib
again;Adverb;A1;mar kale
against;prep;A2;ka dhanka ah
age;Noun Verb;A1, B1;da
aged;Adjective;B1;dadka da'da ah
agency;Noun;B2;hay'adda
agenda;Noun;B2;ajandaha
agent;Noun;B1;wakiilka
aggressive;Adjective;B2;dagaal
ago;Adverb;A1;ago
agree;Verb;A1;heshiiyaan
agreement;Noun;B1;heshiiska
ah;exclam.;A2;ah
ahead;Adverb;B1;ka hor
aid;Noun Verb;B2;gargaarka
aim;Verb Noun;B1;Ujeedada
air;Noun;A1;hawada
aircraft;Noun;B2;diyaarad
airline;Noun;A2;airline
airport;Noun;A1;garoonka
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;album
alcohol;Noun;B1;khamriga
alcoholic;Adjective;B1;khamriga
alive;Adjective;A2;nool
all;det. pron, Adverb;A1, A2;oo dhan
all right;Adjective, Adverb exclam;A2;xaq oo dhan
allow;Verb;A2;u oggolaadaan
almost;Adverb;A2;ku dhowaad
alone;Adjective, Adverb;A2;oo keliya
along;prep. Adverb;A2;oo ay la socdaan
already;Adverb;A2;horay
also;Adverb;A1;sidoo kale
alter;Verb;B2;doorin
alternative;Noun Adjective;A2, B1;kale
although;conj;A2;inkastoo
always;Adverb;A1;had iyo jeer
amazed;Adjective;B1;yaabeen
amazing;Adjective;A1;yaab
ambition;Noun;B1;hami
ambitious;Adjective;B1;hami
among;prep.;A2;ka mid ah
amount;Noun Verb;A2, B2;lacagta
analyse;Verb;B1;falanqaynta
analysis;Noun;B1;falanqaynta
ancient;Adjective;A2;qadiimiga ah
and;conj;A1;iyo
anger;Noun;B2;cadhadii
angle;Noun;B2;xagal
angry;Adjective;A1;cadhoodaa
animal;Noun;A1;xoolaha
ankle;Noun;A2;canqowga
anniversary;Noun;B2;guuradii
announce;Verb;B1;dhawaaqo
announcement;Noun;B1;ogeysiis
annoy;Verb;B1;dhiba
annoyed;Adjective;B1;xumaaday
annoying;Adjective;B1;dhibsado
annual;Adjective;B2;sannadlaha ah
another;det. proNoun;A1;kale
answer;Noun Verb;A1;jawaab
anxious;Adjective;B2;welwelina
any;det. proNoun, Adverb;A1, A2;wax kasta oo
anybody;pron;A2;qof
any more;Adverb;A2;mar dambe
anyone;pron;A1;qof
anything;pron;A1;wax
anyway;Adverb;A2;si kastaba
anywhere;AdVerb proNoun;A2;meel kasta oo
apart;Adverb;B1;marka laga reebo
apartment;Noun;A1;aqalka
apologize;Verb;B1;raaligelin
app;Noun;A2;app
apparent;Adjective;B2;muuqata
apparently;Adverb;B2;sida muuqata
appeal;Noun Verb;B2;racfaanka
appear;Verb;A2;muuqan
appearance;Noun;A2;muuqaalka
apple;Noun;A1;tufaaxa
application;Noun;B1;codsiga
apply;Verb;A2;codsan
appointment;Noun;B1;ballan
appreciate;Verb;B1;maqsuud
approach;Noun Verb;B2;hab
appropriate;Adjective;B2;haboon
approval;Noun;B2;ansixinta
approve;Verb;B2;Ansixinta
approximately;Adverb;B1;ku dhowaad
April;Noun;A1;April
architect;Noun;A2;dhise
architecture;Noun;A2;naqshadaha
area;Noun;A1;degaanka
argue;Verb;A2;doodi
argument;Noun;A2;dood
arise;Verb;B2;kac
arm;Noun;A1;hubeeyo
armed;Adjective;B2;hubaysan
arms;Noun;B2;hubka
army;Noun;A2;ciidan
around;prep. Adverb;A1;ku dhowaad
arrange;Verb;A2;diyaarin
arrangement;Noun;A2;heshiis
arrest;Verb Noun;B1;xiraan
arrival;Noun;B1;imaanshaha
arrive;Verb;A1;yimaadaan
art;Noun;A1;tahay
article;Noun;A1;article
artificial;Adjective;B2;macmal
artist;Noun;A1;artist
artistic;Adjective;B2;farshaxan
as;prep., Adverb conj.;A1, A2;sida
ashamed;Adjective;B2;xishoon
asleep;Adjective;A2;hurda
ask;Verb;A1;weydii
aspect;Noun;B2;dhinaca
assess;Verb;B2;qiimeeyaan
assessment;Noun;B2;qiimaynta
assignment;Noun;B1;shaqo
assist;Verb;B1;caawin
assistant;Noun Adjective;A2;kaaliyaha
associate;Verb;B2;associate
associated;Adjective;B2;la xiriira
association;Noun;B2;ururka
assume;Verb;B2;u qaadan
at;prep.;A1;at
athlete;Noun;A2;Orodyahanka
atmosphere;Noun;B1;jawi
attach;Verb;B1;lifaaq
attack;Noun Verb;A2;weerarka
attempt;Noun Verb;B2;isku dayo
attend;Verb;A2;Ka qayb-
attention;Noun exclam.;A2;dareenka
attitude;Noun;B1;aragti
attract;Verb;B1;jiitaan
attraction;Noun;B1;soo jiidashada
attractive;Adjective;A2;soo jiidasho leh
audience;Noun;A2;dhagaystayaal
August;Noun;A1;Ogosto
aunt;Noun;A1;aayadaa
author;Noun;A2;qoraa
authority;Noun;B1;xujo
autumn;Noun;A1;dayrta
available;Adjective;A2;la heli karo
average;Adjective, Noun Verb;A2, B1;celceliska
avoid;Verb;A2;Iska ilaali
award;Noun Verb;A2, B1;abaalmarinta
aware;Adjective;B1;war
away;Adverb;A1;iska
awful;Adjective;A2;wayn
baby;Noun;A1;ilmahaaga
back;Noun AdVerb Adjective, Verb;A1, A2, B2;back
background;Noun;A2;background
backwards;Adverb;B1;gadaal
bacteria;Noun;B2;bakteeriyada
bad;Adjective;A1;xun
badly;Adverb;A2;xun
bag;Noun;A1;bacda
bake;Verb;B1;kariyaa
balance;Noun Verb;B1;dheelitirka
ball;Noun;A1;kubad
ban;Verb Noun;B1;ganaaxay
banana;Noun;A1;muuska
band;Noun;A1;band
bank (money);Noun;A1;bangiga (lacag)
bank (river);Noun;B1;bangiga (webiga)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;ooday
base;Noun Verb;B1;saldhig
baseball;Noun;A2;baseball
based;Adjective;A2;ku saleysan
basketball;Noun;A2;basketball
basic;Adjective;B1;aasaasiga ah
basically;Adverb;B2;asal ahaan
basis;Noun;B1;ku saleysan
bath;Noun;A1;qubeyska
bathroom;Noun;A1;musqusha
battery;Noun;B1;batari
battle;Noun Verb;B1, B2;dagaal
be;Verb auxiliary Verb;A1;noqon
beach;Noun;A1;xeebta
bean;Noun;A2;bean
bear (deal with);Verb;B2;orso (heshiis la)
bear (animal);Noun;A2;orso (xoolaha)
beat;Verb Noun;A2, B2;garaaca
beautiful;Adjective;A1;qurux badan
beauty;Noun;B1;qurux
because;conj.;A1;maxaa yeelay,
become;Verb;A1;noqday
bed;Noun;A1;sariirta
bedroom;Noun;A1;qolka jiifka
bee;Noun;B1;shinni
beef;Noun;A2;hilibka lo'da
beer;Noun;A1;biirka
before;prep., conj. Adverb;A1, A2;ka hor
beg;Verb;B2;baryid
begin;Verb;A1;bilaabaan
beginning;Noun;A1;bilowgii
behave;Verb;A2;dhaqanto
behaviour;Noun;A2;dhaqanka
behind;prep. Adverb;A1;dambeeya
being;Noun;B2;qabka
belief;Noun;B1;aaminsan
believe;Verb;A1;rumeeyey
bell;Noun;B1;dawan
belong;Verb;A2;iska leh
below;Adverb prep.;A1;hoos ku
belt;Noun;A2;suunka
bend;Verb Noun;B1;gacnta
benefit;Verb NouNoun;A2, B1;lacagta
bent;Adjective;B2;xodan
best;Adjective, AdVerb Noun;A1, A2;ugu fiican
bet;Verb Noun;B2;bet
better;Adjective , Adverb , Noun;A1, A2, B1;fiican
between;prep., Adverb;A1, A2;inta u dhaxaysa
beyond;prep. Adverb;B2;ka baxsan
bicycle;Noun;A1;baaskiilka
big;Adjective;A1;weyn
bike;Noun;A1;baaskiil
bill;Noun Verb;A1, B2;biilka
billion number; ;A2;billion tirada
bin;Noun;A2;bin
biology;Noun;A2;biology
bird;Noun;A1;shimbir
birth;Noun;A2;dhalashada
birthday;Noun;A1;dhalashadiisa
biscuit;Noun;A2;buskut
bit;Noun;A2;waxoogaa
bite;Verb Noun;B1;qaniini
bitter;Adjective;B2;qadhaadh
black;Adjective, Noun;A1;madow
blame;Verb Noun;B2;Saarra
blank;Adjective, Noun;A2;bannaan
blind;Adjective;B2;indha la '
block;Noun Verb;B1;block
blog;Noun;A1;blog
blonde;Adjective;A1;timo cad
blood;Noun;A2;dhiig
blow;Verb;A2;dhabarjab
blue;Adjective, Noun;A1;buluug
board;Noun Verb;A2, B1;board
boat;Noun;A1;doon
body;Noun;A1;jirka
boil;Verb;A2;kasoobaxa
bomb;Noun Verb;B1;qarax
bond;Noun;B2;bond
bone;Noun;A2;lafta
book;Noun Verb;A1, A2;buugga
boot;Noun;A1;boot
border;Noun Verb;B1, B2;xadka
bored;Adjective;A1;caajisaan
boring;Adjective;A1;caajiso
born;Verb;A1;dhashay
borrow;Verb;A2;weyddiisto
boss;Noun;A2;Tababaraha kooxda
both;det./proNoun;A1;labada
bother;Verb;B1;dhibaato
bottle;Noun;A1;dhalada
bottom;NouNoun Adjective;A2;hoose
bowl;Noun;A2;baaquli
box;Noun;A1;sanduuqa
boy;Noun;A1;wiil
boyfriend;Noun;A1;saaxiib
brain;Noun;A2;maskaxda
branch;Noun;B1;laanta
brand;Noun Verb;B1;brand
brave;Adjective;B1;geesi
bread;Noun;A1;kibistii
break;Verb Noun;A1;nasashada
breakfast;Noun;A1;quraac
breast;Noun;B2;naasaha
breath;Noun;B1;neef
breathe;Verb;B1;neefsan
breathing;Noun;B1;neefsashada
bride;Noun;B1;aroosadda
bridge;Noun;A2;buundada
brief;Adjective;B2;kooban
bright;Adjective;A2;dhalaalaya
brilliant;Adjective;A2;cajiib ah
bring;Verb;A1;keeno
broad;Adjective;B2;ballaadhan
broadcast;Verb Noun;B2;warbaahin
broken;Adjective;A2;jebisay
brother;Noun;A1;walaalkiis
brown;Adjective, Noun;A1;bunni
brush;Verb Noun;A2;burush
bubble;Noun;B1;xumbo
budget;Noun;B2;miisaaniyadda
build;Verb;A1;dhista
building;Noun;A1;dhismaha
bullet;Noun;B2;rasaas
bunch;Noun;B2;farabadan
burn;Verb Noun;A2, B2;gubi
bury;Verb;B1;aaso
bus;Noun;A1;baska
bush;Noun;B2;baadiyaha
business;Noun;A1;ganacsiga
businessman;Noun;A2;ganacsade
busy;Adjective;A1;mashquul
but;conj. prep;A1, B2;laakiin
butter;Noun;A1;subagga
button;Noun;A2;button
buy;Verb;A1;buy
by;prep. Adverb;A1, B1;by
bye;exclam;A1;bye
cable;Noun;B2;cable
cafe;Noun;A1;cafe
cake;Noun;A1;cake
calculate;Verb;B2;xisaabiyaan
call;Verb Noun;A1;call
calm;Adjective Verb Noun;B1;dajiyaan
camera;Noun;A1;camera
camp;Noun Verb;A2;xerada
campaign;Noun Verb;B1;ololaha
camping;Noun;A2;kaambada
campus;Noun;B1;campus
can1;modal Verb;A1;can1
can2;Noun;A2;can2
cancel;Verb;B2;baajiso
cancer;Noun;B2;kansarka
candidate;Noun;B1;musharaxa
cannot;Verb;A1;ma yeeli karno
cap;Noun;B1;cap
capable;Adjective;B2;awood u
capacity;Noun;B2;awoodda
capital;Noun Adjective;A1;magaalada
captain;Noun;B1;kabtanka
capture;Verb Noun;B2;qabtay
car;Noun;A1;baabuur
card;Noun;A1;kaarka
care;Noun Verb;A2;daryeel
career;Noun;A1;mustaqbalkiisa
careful;Adjective;A2;taxaddar
carefully;Adverb;A2;si taxadar leh
careless;Adjective;B1;si taxadar la'aan
carpet;Noun;A2;rooga
carrot;Noun;A1;karooto
carry;Verb;A1;sidato
cartoon;Noun;A2;cartoon
case;Noun;A2;dhacdo
cash;Noun;A2;lacag caddaan ah
cast;Noun Verb;B2;kabka
castle;Noun;A2;qalcaddii
cat;Noun;A1;cat
catch;Verb Noun;A2, B2;qabsado
category;Noun;B1;category
cause;Noun Verb;A2;Jidka
CD;Noun;A1;CD
ceiling;Noun;B1;saqafka
celebrate;Verb;A2;dabaal
celebration;Noun;B1;dabaal
celebrity;Noun;A2;celebrity
cell;Noun;B2;cell
cent;Noun;A1;boqolkiiba
central;Adjective;B1;bartamaha
centre;Noun Verb;A1, B1;xarunta
century;Noun;A1;qarnigii
ceremony;Noun;B1;xafladda
certain;Adjective;A2;qaarkood
certainly;Adverb;A2;dhab ahaan
chain;Noun Verb;B1, B2;Silsilad
chair;Noun Verb;A1, B2;kursi
chairman;Noun;B2;Gudoomiyaha
challenge;Noun Verb;B1, B2;tartan
champion;Noun;B1;Kooxda heysata horyaalka
chance;Noun;A2;fursad
change;Verb Noun;A1;isbeddel
channel;Noun;B1;channel
chapter;Noun;B1;cutubka
character;Noun;A2;qof
characteristic;Noun Adjective;B2;caan
charge;Noun Verb;B1;lacag
charity;Noun;A2;Sadaqo
chart;Noun Verb;A1, B2;shaxda
chat;Verb Noun;A2;chat
cheap;Adjective , Adverb;A1, B1;cheap
cheat;Verb Noun;B1;khiyaameeyaan
check;Verb Noun;A1, A2;hubi
chef;Noun;A2;kuugga
cheerful;Adjective;B1;faraxsan
cheese;Noun;A1;cheese
chemical;Adjective, Noun;B1;kiimikada
chemistry;Noun;A2;chemistry
chest;Noun;B1;xabadka
chicken;Noun;A1;digaag
chief;Adjective, Noun;B2;madax
child;Noun;A1;ilmahaaga
childhood;Noun;B1;carruurnimada
chip;Noun;A2;chip
chocolate;Noun;A1;shukulaatada
choice;Noun;A2;doorasho
choose;Verb;A1;dooran
church;Noun;A2;kaniisadda
cigarette;Noun;A2;sigaarka
cinema;Noun;A1;shaneemo
circle;Noun Verb;A2;goobada
circumstance;Noun;B2;xaalad
cite;Verb;B2;tixraacaan
citizen;Noun;B2;muwaadin
city;Noun;A1;magaalada
civil;Adjective;B2;rayidka ah
claim;Verb Noun;B1;sheegasho
class;Noun;A1;fasalka
classic;Adjective, Noun;B2;classic
classical;Adjective;A2;classical
classroom;Noun;A1;fasalka
clause;Noun;B1;lagu burburin karo
clean;Adjective, Verb;A1;nadiif ah
clear;Adjective, Verb;A2, B1;cad
clearly;Adverb;A2;si cad u
clever;Adjective;A2;xariif
click;Verb Noun;B1;click
client;Noun;B1;macmiilka
climate;Noun;A2;cimilada
climb;Verb Noun;A1, B1;fuulayaan
clock;Noun;A1;saacad
close1;Verb Noun;A1, B2;close1
close2;Adjective , Adverb;A2, B1;close2
closed;Adjective;A2;xiran
closely;Adverb;B2;si dhow
cloth;Noun;B1;maro
clothes;Noun;A1;dharka
clothing;Noun;A2;dharka
cloud;Noun;A2;daruur
club;Noun;A1;kooxda
clue;Noun;B1;fikrad
coach;Noun Verb;A2, B1;Tababaraha kooxda
coal;Noun;B1;dhuxusha
coast;Noun;A2;xeebaha
coat;Noun;A1;jaakad
code;Noun;A2;code
coffee;Noun;A1;kafeega
coin;Noun;B1;qadaadiic
cold;Adjective Noun;A1;qabow
collapse;Verb Noun;B2;burburkii
colleague;Noun;A2;jaalle
collect;Verb;A2;Collect
collection;Noun;B1;ururinta
college;Noun;A1;college
colour;Noun;A1;midabka
coloured;Adjective;B1;midab
column;Noun;A2;column
combination;Noun;B2;isku darka
combine;Verb;B1;isu geeyo
come;Verb;A1;yimaado
comedy;Noun;A2;Majaajilo
comfort;Noun Verb;B2;raaxada
comfortable;Adjective;A2;raaxo
command;Noun Verb;B2;amarka
comment;Noun Verb;A2, B1;comment
commercial;Adjective Noun;B1;ganacsi
commission;Noun Verb;B2;komishanka
commit;Verb;B1;samayn
commitment;Noun;B2;go'an
committee;Noun;B2;guddiga
common;Adjective Noun;A1;caadi
commonly;Adverb;B2;caadi
communicate;Verb;A2;isgaadhsiin
communication;Noun;B1;isgaarsiinta
community;Noun;A2;bulshada
company;Noun;A1;shirkadda
compare;Verb;A1;barbardhigi
comparison;Noun;B1;isbarbardhigga
compete;Verb;A2;tartami
competition;Noun;A2;tartanka
competitor;Noun;B1;tartame
competitive;Adjective;B1;tartan rasmi ah
complain;Verb;A2;caban
complaint;Noun;B1;cabasho
complete;Adjective Verb;A1;complete
completely;Adverb;A2;si buuxda u
complex;Adjective, Noun;B1, B2;adag
complicated;Adjective;B2;adag
component;Noun;B2;component
computer;Noun;A1;computer
concentrate;Verb;B1;shancosbitaal
concentration;Noun;B2;fiirsashada
concept;Noun;B2;fikradda
concern;Noun Verb;B2;dareen
concerned;Adjective;B2;ka walaacsan
concert;Noun;A1;riwaayad
conclude;Verb;B1;tirinnaa
conclusion;Noun;B1;gunaanad
condition;Noun;A2;xaalad
conduct;Verb Noun;B2;dhaqanka
conference;Noun;A2;shirka
confidence;Noun;B2;kalsoonida
confident;Adjective;B1;kalsooni
confirm;Verb;B1;Oo Xaqiijisey
conflict;Noun Verb;B2;colaadda
confuse;Verb;B1;khaldaan
confused;Adjective;B1;wareersan
confusing;Adjective;B2;wareeriya
connect;Verb;A2;Connect
connected;Adjective;A2;ku xiran
connection;Noun;B1;xiriir
conscious;Adjective;B2;miyir
consequence;Noun;B1;cidhibtii
conservative;Adjective, Noun;B2;muxaafidka ah
consider;Verb;A2;fiirsan
consideration;Noun;B2;tixgelinta
consist;Verb;B1;ka kooban yahay
consistent;Adjective;B2;joogto ah
constant;Adjective;B2;joogto ah
constantly;Adverb;B2;si joogto ah
construct;Verb;B2;dhisida
construction;Noun;B2;dhismaha
consume;Verb;B1;baabbi'iyee
consumer;Noun;B1;macaamiisha
contact;Noun Verb;B1;xiriirka
contain;Verb;A2;waxaa ku jira
container;Noun;B1;weelka
contemporary;Adjective;B2;casriga ah
content;Noun;B1;content
contest;Noun Verb;B2;Tartanka
context;Noun;A2;macnaha
continent;Noun;A2;qaarada
continue;Verb;A2;sii
continuous;Adjective;B1;joogto ah
contract;Noun Verb;B2;heshiis
contrast;Noun Verb;B1;Marka la barbardhigo
contribute;Verb;B2;ka qayb
contribution;Noun;B2;tabarruc
control;Noun Verb;A2;control
convenient;Adjective;B1;haboon
conversation;Noun;A1;wada hadalka
convert;Verb;B2;diinta
convince;Verb;B1;dhaadhiciyo
convinced;Adjective;B2;qanciyay
cook;Verb Noun;A1, A2;cuntokariyihii
cooker;Noun;A2;makiinada
cooking;Noun;A1;karinta
cool;Adjective, Verb;A1, B1;qabow
copy;Noun Verb;A2;nuqul
core;Noun Adjective;B2;core
corner;Noun;A2;geeska
corporate;Adjective;B2;shirkadaha
correct;Adjective Verb;A1;sax
correctly;Adverb;A2;si sax ah
cost;Noun Verb;A1;kharashka
costume;Noun;B1;dhar
cottage;Noun;B1;aqalada
cotton;Noun;B1;suuf
could;Verb;A1;waayeen
council;Noun;B2;golaha
count;Verb Noun;A2, B1;tirin
country;Noun;A1;dalka
countryside;Noun;B1;baadiyaha
county;Noun;B2;gobolka
couple;Noun;A2;Lamaanahan
courage;Noun;B2;geesinimada
course;Noun;A1;Dabcan
court;Noun;B1;maxkamad
cousin;Noun;A1;Adeerkay
cover;Verb Noun;A2, B1;cover
covered;Adjective;B1;daboolay
cow;Noun;A1;lo'da
crash;Noun Verb;B2;shil
crazy;Adjective;A2;Waali
cream;Noun Adjective;A1, B1;cream
create;Verb;A1;abuuro
creation;Noun;B2;abuuridda
creative;Adjective;A2;hal abuur leh
creature;Noun;B2;xayawaankii
credit;Noun Verb;A2, B2;credit
crew;Noun;B2;shaqaale
crime;Noun;A2;dembiyada
criminal;Noun Adjective;A2, B1;dembiyeed
crisis;Noun;B2;dhibaatada
criterion;Noun;B2;Faraj
critic;Noun;B2;naqdiya
critical;Adjective;B2;muhiim ah
