a, an;indefinite, article;A1;a, ein
abandon;Verb;B2;verlassen
ability;Noun;A2;Fähigkeit
able;Adjective;A2;imstande
about;prep. Adverb;A1;Über
above;prep. Adverb;A1;über
abroad;Adverb;A2;im Ausland
absolute;Adjective;B2;absolut
absolutely;Adverb;B1;absolut
academic;adj, Noun;B1, B2;akademisch
accept;Verb;A2;akzeptieren
acceptable;Adjective;B2;akzeptabel
access;Noun Verb;B1;Zugriff
accident;Noun;A2;Unfall
accommodation;Noun;B1;Unterkunft
accompany;Verb;B2;begleiten
according to;prep.;A2;gemäß
account;Noun Verb;B1, B2;Konto
accurate;Adjective;B2;genau
accuse;Verb;B2;beschuldigen
achieve;Verb;A2;leisten
achievement;Noun;B1;Leistung
acknowledge;Verb;B2;bestätigen
acquire;Verb;B2;erwerben
across;prep. Adverb;A1;über
act;Verb Noun;A2,B1;Handlung
action;Noun;A1;Aktion
active;Adjective;A2;aktiv
activity;Noun;A1;Aktivität
actor;Noun;A1;Darsteller
actress;Noun;A1;Schauspielerin
actual;Adjective;B2;tatsächlich
actually;Adverb;A2;tatsächlich
ad;Noun;B1;Anzeige
adapt;Verb;B2;anpassen
add;Verb;A1;hinzufügen
addition;Noun;B1;Zusatz
additional;Adjective;B2;zusätzlich
address;Noun Verb;A1,B2;Adresse
administration;Noun;B2;Verwaltung
admire;Verb;B1;bewundern
admit;Verb;B1;eingestehen
adopt;Verb;B2;adoptieren
adult;Noun adj;A1,A2;Erwachsene
Advance;Noun Verb adj;B2;Voraus
Advanced;Adjective;B1;fortgeschritten
Advantage;Noun;A2;Vorteil
Adventure;Noun;A2;Abenteuer
Advertise;Verb;A2;Werben
Advertisement;Noun;A2;Werbung
Advertising;Noun;A2;Werbung
Advice;Noun Verb;A1, B1;Rat
affair;Noun;B2;Affäre
affect;Verb;A2;beeinflussen
afford;Verb;B1;sich leisten
afraid;Adjective;A1;ängstlich
after;prep. conj. Adverb;A1,A2;nach dem
afternoon;Noun;A1;Nachmittag
afterwards;Adverb;B2;danach
again;Adverb;A1;nochmal
against;prep;A2;gegen
age;Noun Verb;A1, B1;Alter
aged;Adjective;B1;alt
agency;Noun;B2;Agentur
agenda;Noun;B2;Agenda
agent;Noun;B1;Agent
aggressive;Adjective;B2;aggressiv
ago;Adverb;A1;vor
agree;Verb;A1;zustimmen
agreement;Noun;B1;Zustimmung
ah;exclam.;A2;Ah
ahead;Adverb;B1;voraus
aid;Noun Verb;B2;Hilfe
aim;Verb Noun;B1;Ziel
air;Noun;A1;Luft
aircraft;Noun;B2;Flugzeug
airline;Noun;A2;Fluggesellschaft
airport;Noun;A1;Flughafen
alarm;Noun Verb;B1, B2;Alarm
album;Noun;B1;Album
alcohol;Noun;B1;Alkohol
alcoholic;Adjective;B1;alkoholisch
alive;Adjective;A2;am Leben
all;det. pron, Adverb;A1, A2;alles
all right;Adjective, Adverb exclam;A2;gut
allow;Verb;A2;ermöglichen
almost;Adverb;A2;fast
alone;Adjective, Adverb;A2;allein
along;prep. Adverb;A2;entlang
already;Adverb;A2;bereits
also;Adverb;A1;ebenfalls
alter;Verb;B2;ändern
alternative;Noun Adjective;A2, B1;Alternative
although;conj;A2;obwohl
always;Adverb;A1;immer
amazed;Adjective;B1;erstaunt
amazing;Adjective;A1;tolle
ambition;Noun;B1;Ambition
ambitious;Adjective;B1;ehrgeizig
among;prep.;A2;unter
amount;Noun Verb;A2, B2;Menge
analyse;Verb;B1;analysieren
analysis;Noun;B1;Analyse
ancient;Adjective;A2;alt
and;conj;A1;und
anger;Noun;B2;Zorn
angle;Noun;B2;Winkel
angry;Adjective;A1;wütend
animal;Noun;A1;Tier
ankle;Noun;A2;Knöchel
anniversary;Noun;B2;Jahrestag
announce;Verb;B1;bekannt geben
announcement;Noun;B1;Ankündigung
annoy;Verb;B1;Nerven
annoyed;Adjective;B1;genervt
annoying;Adjective;B1;nervig
annual;Adjective;B2;jährlich
another;det. proNoun;A1;Ein weiterer
answer;Noun Verb;A1;Antworten
anxious;Adjective;B2;Ängstlich
any;det. proNoun, Adverb;A1, A2;irgendein
anybody;pron;A2;irgendjemand
any more;Adverb;A2;nicht mehr
anyone;pron;A1;jemand
anything;pron;A1;etwas
anyway;Adverb;A2;wie auch immer
anywhere;AdVerb proNoun;A2;irgendwo
apart;Adverb;B1;ein Teil
apartment;Noun;A1;Wohnung
apologize;Verb;B1;entschuldigen
app;Noun;A2;app
apparent;Adjective;B2;ersichtlich
apparently;Adverb;B2;anscheinend
appeal;Noun Verb;B2;Beschwerde
appear;Verb;A2;erscheinen
appearance;Noun;A2;Aussehen
apple;Noun;A1;Apfel
application;Noun;B1;Anwendung
apply;Verb;A2;anwenden
appointment;Noun;B1;geplanter Termin
appreciate;Verb;B1;schätzen
approach;Noun Verb;B2;Ansatz
appropriate;Adjective;B2;angemessen
approval;Noun;B2;die Genehmigung
approve;Verb;B2;genehmigen
approximately;Adverb;B1;etwa
April;Noun;A1;April
architect;Noun;A2;Architekt
architecture;Noun;A2;die Architektur
area;Noun;A1;Bereich
argue;Verb;A2;streiten
argument;Noun;A2;Streit
arise;Verb;B2;entstehen
arm;Noun;A1;Arm
armed;Adjective;B2;bewaffnet
arms;Noun;B2;Waffen
army;Noun;A2;Armee
around;prep. Adverb;A1;um
arrange;Verb;A2;ordnen
arrangement;Noun;A2;Anordnung
arrest;Verb Noun;B1;Festnahme
arrival;Noun;B1;Ankunft
arrive;Verb;A1;ankommen
art;Noun;A1;Kunst
article;Noun;A1;Artikel
artificial;Adjective;B2;künstlich
artist;Noun;A1;Künstler
artistic;Adjective;B2;künstlerisch
as;prep., Adverb conj.;A1, A2;wie
ashamed;Adjective;B2;beschämt
asleep;Adjective;A2;schlafend
ask;Verb;A1;Fragen
aspect;Noun;B2;Aspekt
assess;Verb;B2;beurteilen
assessment;Noun;B2;Bewertung
assignment;Noun;B1;Zuordnung
