a, an;indefinite, article;A1;a, an
abandon;Verb;B2;terikandin
ability;Noun;A2;kêrhatî
able;Adjective;A2;kêrhat
about;prep. Adverb;A1;ji dor
above;prep. Adverb;A1;ser
abroad;Adverb;A2;ji derve
absolute;Adjective;B2;mitleq
absolutely;Adverb;B1;bêsînor
academic;adj, Noun;B1, B2;danişgayî
accept;Verb;A2;baweranîn
acceptable;Adjective;B2;bawerbar
access;Noun Verb;B1;navketin
accident;Noun;A2;qeza
accommodation;Noun;B1;cih
accompany;Verb;B2;hevalrêtîkirin
according to;prep.;A2;ligor
account;Noun Verb;B1, B2;konto
accurate;Adjective;B2;tam
accuse;Verb;B2;gilîkirin
achieve;Verb;A2;gîhaştin
achievement;Noun;B1;suxre
acknowledge;Verb;B2;nasîn
acquire;Verb;B2;kirrîn
across;prep. Adverb;A1;li ser
act;Verb Noun;A2,B1;lîstin
action;Noun;A1;çalakî
active;Adjective;A2;jîr
activity;Noun;A1;çalakî
actor;Noun;A1;şanoger
actress;Noun;A1;şanoger
actual;Adjective;B2;rast
actually;Adverb;A2;birastî
ad;Noun;B1;ad
adapt;Verb;B2;lihevanîn
add;Verb;A1;lêzêdekirin
addition;Noun;B1;pitir
additional;Adjective;B2;biserre
address;Noun Verb;A1,B2;navnîşan
administration;Noun;B2;birêvebirî
admire;Verb;B1;lêşaşman
admit;Verb;B1;qebûlkirin
adopt;Verb;B2;xwerezarokgirtin
adult;Noun adj;A1,A2;gihîştî
Advance;Noun Verb adj;B2;Pêşveçûn
Advanced;Adjective;B1;Pêşveçû
Advantage;Noun;A2;Berjewendî
Adventure;Noun;A2;Serpêhatî
Advertise;Verb;A2;Gilîkirin
Advertisement;Noun;A2;Gilî
Advertising;Noun;A2;Reqlam
Advice;Noun Verb;A1, B1;Şêwr
affair;Noun;B2;karûbar
affect;Verb;A2;raydakirin
afford;Verb;B1;ji xwere kanîn
afraid;Adjective;A1;tirsane
after;prep. conj. Adverb;A1,A2;piştî
afternoon;Noun;A1;piştînîvroj
afterwards;Adverb;B2;paşan
again;Adverb;A1;dîsa
against;prep;A2;dijî
age;Noun Verb;A1, B1;kalbûn
aged;Adjective;B1;salî
agency;Noun;B2;ajans
agenda;Noun;B2;naverok
agent;Noun;B1;casus
aggressive;Adjective;B2;êrşişbaz
ago;Adverb;A1;pêşî
agree;Verb;A1;qebûlkirin
agreement;Noun;B1;lihevhatin
ah;exclam.;A2;ah
ahead;Adverb;B1;pêşve
aid;Noun Verb;B2;alîkarî
aim;Verb Noun;B1;armanc
air;Noun;A1;hewa
aircraft;Noun;B2;firrok
airline;Noun;A2;şîrketa balafiran
airport;Noun;A1;balafirgeh
alarm;Noun Verb;B1, B2;hawar
album;Noun;B1;albûm
alcohol;Noun;B1;alkol
alcoholic;Adjective;B1;alkolgir
alive;Adjective;A2;jînde
all;det. pron, Adverb;A1, A2;gişt
all right;Adjective, Adverb exclam;A2;gelek baş
allow;Verb;A2;destûrdan
almost;Adverb;A2;hema hema
alone;Adjective, Adverb;A2;tenê
along;prep. Adverb;A2;tenişt
already;Adverb;A2;êdî
also;Adverb;A1;jî
alter;Verb;B2;gûherrandin
alternative;Noun Adjective;A2, B1;şûndor
although;conj;A2;herçi
always;Adverb;A1;herdem
amazed;Adjective;B1;şaş
amazing;Adjective;A1;êcêb
ambition;Noun;B1;xîret
ambitious;Adjective;B1;xîretwar
among;prep.;A2;bin
amount;Noun Verb;A2, B2;biha
analyse;Verb;B1;lêkolîn
