a, an;indefinite, article;A1;a, sebuah
abandon;Verb;B2;mengabaikan
ability;Noun;A2;kemampuan
able;Adjective;A2;sanggup
about;prep. Adverb;A1;tentang
above;prep. Adverb;A1;atas
abroad;Adverb;A2;di luar negeri
absolute;Adjective;B2;mutlak
absolutely;Adverb;B1;benar
academic;adj, Noun;B1, B2;akademik
accept;Verb;A2;menerima
acceptable;Adjective;B2;diterima
access;Noun Verb;B1;mengakses
accident;Noun;A2;kecelakaan
accommodation;Noun;B1;akomodasi
accompany;Verb;B2;menemani
according to;prep.;A2;berdasarkan
account;Noun Verb;B1, B2;Akun
accurate;Adjective;B2;tepat
accuse;Verb;B2;menuduh
achieve;Verb;A2;mencapai
achievement;Noun;B1;prestasi
acknowledge;Verb;B2;mengakui
acquire;Verb;B2;memperoleh
across;prep. Adverb;A1;di
act;Verb Noun;A2,B1;bertindak
action;Noun;A1;tindakan
active;Adjective;A2;aktif
activity;Noun;A1;aktivitas
actor;Noun;A1;aktor
actress;Noun;A1;aktris
actual;Adjective;B2;sebenarnya
actually;Adverb;A2;sebenarnya
ad;Noun;B1;iklan
adapt;Verb;B2;menyesuaikan
add;Verb;A1;Menambahkan
addition;Noun;B1;tambahan
additional;Adjective;B2;tambahan
address;Noun Verb;A1,B2;alamat
administration;Noun;B2;administrasi
admire;Verb;B1;mengagumi
admit;Verb;B1;mengakui
adopt;Verb;B2;mengambil
adult;Noun adj;A1,A2;dewasa
Advance;Noun Verb adj;B2;Muka
Advanced;Adjective;B1;Maju
Advantage;Noun;A2;Keuntungan
Adventure;Noun;A2;Petualangan
Advertise;Verb;A2;Mengiklankan
Advertisement;Noun;A2;Iklan
Advertising;Noun;A2;pengiklanan
Advice;Noun Verb;A1, B1;Nasihat
affair;Noun;B2;peristiwa
affect;Verb;A2;mempengaruhi
afford;Verb;B1;mampu
afraid;Adjective;A1;takut
after;prep. conj. Adverb;A1,A2;setelah
afternoon;Noun;A1;sore
afterwards;Adverb;B2;setelah itu
again;Adverb;A1;lagi
against;prep;A2;melawan
age;Noun Verb;A1, B1;usia
aged;Adjective;B1;berumur
agency;Noun;B2;agen
agenda;Noun;B2;Jadwal acara
agent;Noun;B1;agen
aggressive;Adjective;B2;agresif
ago;Adverb;A1;silam
agree;Verb;A1;setuju
agreement;Noun;B1;persetujuan
ah;exclam.;A2;ah
ahead;Adverb;B1;di depan
aid;Noun Verb;B2;membantu
aim;Verb Noun;B1;tujuan
air;Noun;A1;udara
aircraft;Noun;B2;pesawat terbang
airline;Noun;A2;perusahaan penerbangan
airport;Noun;A1;Bandara
alarm;Noun Verb;B1, B2;alarm
album;Noun;B1;album
alcohol;Noun;B1;alkohol
alcoholic;Adjective;B1;beralkohol
alive;Adjective;A2;hidup
all;det. pron, Adverb;A1, A2;semua
all right;Adjective, Adverb exclam;A2;Baiklah
allow;Verb;A2;mengizinkan
almost;Adverb;A2;hampir
alone;Adjective, Adverb;A2;sendirian
along;prep. Adverb;A2;sepanjang
already;Adverb;A2;sudah
also;Adverb;A1;juga
alter;Verb;B2;mengubah
alternative;Noun Adjective;A2, B1;alternatif
although;conj;A2;meskipun
always;Adverb;A1;selalu
amazed;Adjective;B1;takjub
amazing;Adjective;A1;menakjubkan
ambition;Noun;B1;ambisi
ambitious;Adjective;B1;ambisius
among;prep.;A2;antara
amount;Noun Verb;A2, B2;jumlah
analyse;Verb;B1;menganalisa
analysis;Noun;B1;analisis
ancient;Adjective;A2;kuno
and;conj;A1;dan
anger;Noun;B2;marah
angle;Noun;B2;sudut
angry;Adjective;A1;marah
animal;Noun;A1;satwa
ankle;Noun;A2;pergelangan kaki
anniversary;Noun;B2;ulang tahun
announce;Verb;B1;mengumumkan
announcement;Noun;B1;pengumuman
annoy;Verb;B1;mengganggu
annoyed;Adjective;B1;kesal
annoying;Adjective;B1;menjengkelkan
annual;Adjective;B2;tahunan
another;det. proNoun;A1;lain
answer;Noun Verb;A1;menjawab
anxious;Adjective;B2;gelisah
any;det. proNoun, Adverb;A1, A2;apa saja
anybody;pron;A2;siapa saja
any more;Adverb;A2;lagi
anyone;pron;A1;siapa saja
anything;pron;A1;apa pun
anyway;Adverb;A2;bagaimanapun
anywhere;AdVerb proNoun;A2;di manapun
apart;Adverb;B1;selain
apartment;Noun;A1;Apartemen
apologize;Verb;B1;minta maaf
app;Noun;A2;aplikasi
apparent;Adjective;B2;semu
apparently;Adverb;B2;tampaknya
appeal;Noun Verb;B2;menarik
appear;Verb;A2;muncul
appearance;Noun;A2;penampilan
apple;Noun;A1;apel
application;Noun;B1;aplikasi
apply;Verb;A2;menerapkan
appointment;Noun;B1;janji
appreciate;Verb;B1;menghargai
approach;Noun Verb;B2;pendekatan
appropriate;Adjective;B2;sesuai
approval;Noun;B2;persetujuan
approve;Verb;B2;menyetujui
approximately;Adverb;B1;sekitar
April;Noun;A1;April
architect;Noun;A2;arsitek
architecture;Noun;A2;Arsitektur
area;Noun;A1;daerah
argue;Verb;A2;memperdebatkan
argument;Noun;A2;argumen
arise;Verb;B2;timbul
arm;Noun;A1;lengan
armed;Adjective;B2;bersenjata
arms;Noun;B2;senjata
army;Noun;A2;tentara
around;prep. Adverb;A1;sekitar
arrange;Verb;A2;mengatur
arrangement;Noun;A2;pengaturan
arrest;Verb Noun;B1;menangkap
arrival;Noun;B1;kedatangan
arrive;Verb;A1;tiba
art;Noun;A1;seni
article;Noun;A1;artikel
artificial;Adjective;B2;buatan
artist;Noun;A1;artis
artistic;Adjective;B2;artistik
as;prep., Adverb conj.;A1, A2;sebagai
ashamed;Adjective;B2;malu
asleep;Adjective;A2;sedang tidur
ask;Verb;A1;meminta
aspect;Noun;B2;aspek
assess;Verb;B2;menilai
assessment;Noun;B2;penilaian
assignment;Noun;B1;tugas
assist;Verb;B1;membantu
assistant;Noun Adjective;A2;asisten
associate;Verb;B2;rekan
associated;Adjective;B2;terkait
association;Noun;B2;asosiasi
assume;Verb;B2;menganggap
at;prep.;A1;di
athlete;Noun;A2;atlet
atmosphere;Noun;B1;suasana
attach;Verb;B1;melampirkan
attack;Noun Verb;A2;menyerang
attempt;Noun Verb;B2;mencoba
attend;Verb;A2;menghadiri
attention;Noun exclam.;A2;perhatian
attitude;Noun;B1;sikap
attract;Verb;B1;menarik
attraction;Noun;B1;daya tarik
attractive;Adjective;A2;menarik
audience;Noun;A2;hadirin
August;Noun;A1;Agustus
aunt;Noun;A1;bibi
author;Noun;A2;penulis
authority;Noun;B1;wewenang
autumn;Noun;A1;musim gugur
available;Adjective;A2;tersedia
average;Adjective, Noun Verb;A2, B1;rata-rata
avoid;Verb;A2;menghindari
award;Noun Verb;A2, B1;menghadiahkan
aware;Adjective;B1;sadar
away;Adverb;A1;jauh
awful;Adjective;A2;mengerikan
baby;Noun;A1;bayi
back;Noun AdVerb Adjective, Verb;A1, A2, B2;kembali
background;Noun;A2;Latar Belakang
backwards;Adverb;B1;ke belakang
bacteria;Noun;B2;bakteri
bad;Adjective;A1;buruk
badly;Adverb;A2;sangat
bag;Noun;A1;tas
bake;Verb;B1;membakar
balance;Noun Verb;B1;keseimbangan
ball;Noun;A1;bola
ban;Verb Noun;B1;melarang
banana;Noun;A1;pisang
band;Noun;A1;pita
bank (money);Noun;A1;bank (uang)
bank (river);Noun;B1;bank (sungai)
bar;Noun Verb;A2, B2;batang
barrier;Noun;B2;pembatas
base;Noun Verb;B1;mendasarkan
baseball;Noun;A2;baseball
based;Adjective;A2;berdasarkan
basketball;Noun;A2;bola basket
basic;Adjective;B1;dasar
basically;Adverb;B2;pada dasarnya
basis;Noun;B1;dasar
bath;Noun;A1;mandi
bathroom;Noun;A1;kamar mandi
battery;Noun;B1;baterai
battle;Noun Verb;B1, B2;pertarungan
be;Verb auxiliary Verb;A1;menjadi
beach;Noun;A1;pantai
bean;Noun;A2;kacang
bear (deal with);Verb;B2;beruang (kesepakatan dengan)
bear (animal);Noun;A2;beruang (hewan)
beat;Verb Noun;A2, B2;mengalahkan
beautiful;Adjective;A1;Cantik
beauty;Noun;B1;Kecantikan
because;conj.;A1;karena
become;Verb;A1;menjadi
bed;Noun;A1;tempat tidur
bedroom;Noun;A1;kamar tidur
bee;Noun;B1;lebah
