a, an;indefinite, article;A1;А,
abandon;Verb;B2;бас тартуға
ability;Noun;A2;қабілеті
able;Adjective;A2;қабілетті
about;prep. Adverb;A1;туралы
above;prep. Adverb;A1;Жоғарыда
abroad;Adverb;A2;шетелде
absolute;Adjective;B2;абсолютті
absolutely;Adverb;B1;мүлде
academic;adj, Noun;B1, B2;академиялық
accept;Verb;A2;қабылдау
acceptable;Adjective;B2;жарамды
access;Noun Verb;B1;қол
accident;Noun;A2;кездейсоқтық
accommodation;Noun;B1;тұру
accompany;Verb;B2;алып жүру
according to;prep.;A2;сәйкес
account;Noun Verb;B1, B2;шот
accurate;Adjective;B2;дәл
accuse;Verb;B2;айыптау
achieve;Verb;A2;мақсатқа жету
achievement;Noun;B1;жетістік
acknowledge;Verb;B2;растау
acquire;Verb;B2;ие
across;prep. Adverb;A1;арқылы
act;Verb Noun;A2,B1;акт
action;Noun;A1;іс-шаралар
active;Adjective;A2;белсенді
activity;Noun;A1;қызмет
actor;Noun;A1;актер
actress;Noun;A1;актриса
actual;Adjective;B2;нақты
actually;Adverb;A2;шынында
ad;Noun;B1;жарнама
adapt;Verb;B2;бейімделу
add;Verb;A1;қосу
addition;Noun;B1;қосу
additional;Adjective;B2;қосымша
address;Noun Verb;A1,B2;мекен-жай
administration;Noun;B2;басқарма
admire;Verb;B1;сүйсіну
admit;Verb;B1;мойындау
adopt;Verb;B2;қабылдауға
adult;Noun adj;A1,A2;ересек
Advance;Noun Verb adj;B2;аванстық
Advanced;Adjective;B1;Озат
Advantage;Noun;A2;басымдық
Adventure;Noun;A2;Adventure
Advertise;Verb;A2;жарнамалау
Advertisement;Noun;A2;жарнама
Advertising;Noun;A2;Жарнама
Advice;Noun Verb;A1, B1;кеңес
affair;Noun;B2;іс
affect;Verb;A2;әсер
afford;Verb;B1;мүмкіндік
afraid;Adjective;A1;қорқады
after;prep. conj. Adverb;A1,A2;кейін
afternoon;Noun;A1;түс
afterwards;Adverb;B2;кейін
again;Adverb;A1;қайтадан
against;prep;A2;қарсы
age;Noun Verb;A1, B1;жас
aged;Adjective;B1;жастағы
agency;Noun;B2;агенттік
agenda;Noun;B2;күн тәртібі
agent;Noun;B1;агент
aggressive;Adjective;B2;басқыншылық
ago;Adverb;A1;бұрын
agree;Verb;A1;келісу
agreement;Noun;B1;келісім
ah;exclam.;A2;А.Х.
ahead;Adverb;B1;алда
aid;Noun Verb;B2;көмек
aim;Verb Noun;B1;мақсаты
air;Noun;A1;ауа
aircraft;Noun;B2;ұшақ
airline;Noun;A2;әуе
airport;Noun;A1;әуежай
alarm;Noun Verb;B1, B2;дабыл
album;Noun;B1;альбом
alcohol;Noun;B1;алкоголь
alcoholic;Adjective;B1;маскүнем
alive;Adjective;A2;тірі
all;det. pron, Adverb;A1, A2;барлық
all right;Adjective, Adverb exclam;A2;бәрі жақсы
allow;Verb;A2;рұқсат ету
almost;Adverb;A2;дерлік
alone;Adjective, Adverb;A2;тек
along;prep. Adverb;A2;бойымен
already;Adverb;A2;қазірдің өзінде
also;Adverb;A1;Сондай-ақ,
alter;Verb;B2;ALTER
alternative;Noun Adjective;A2, B1;балама
although;conj;A2;дегенмен
always;Adverb;A1;әрқашан
amazed;Adjective;B1;қайран
amazing;Adjective;A1;тамаша
ambition;Noun;B1;арман
ambitious;Adjective;B1;өршіл
among;prep.;A2;арасында
amount;Noun Verb;A2, B2;сомасы
analyse;Verb;B1;талдау
analysis;Noun;B1;талдау
ancient;Adjective;A2;ежелгі
and;conj;A1;және
anger;Noun;B2;ашу
angle;Noun;B2;бұрыш
angry;Adjective;A1;ашулы
animal;Noun;A1;жануар
ankle;Noun;A2;жіліншік
anniversary;Noun;B2;жылдығы
announce;Verb;B1;жариялау
announcement;Noun;B1;хабарландыру
annoy;Verb;B1;маза бермеу
annoyed;Adjective;B1;тітіркендіргіш
annoying;Adjective;B1;ренішті
annual;Adjective;B2;жылдық
another;det. proNoun;A1;басқа
answer;Noun Verb;A1;жауап
anxious;Adjective;B2;мазасыз
any;det. proNoun, Adverb;A1, A2;кез келген
anybody;pron;A2;біреу
any more;Adverb;A2;кез келген көп
anyone;pron;A1;кез келген
anything;pron;A1;бірдеме
anyway;Adverb;A2;бәрібір
anywhere;AdVerb proNoun;A2;кез келген жерде
apart;Adverb;B1;бөлек
apartment;Noun;A1;Пәтер
apologize;Verb;B1;кешірім сұрау
app;Noun;A2;қолданба
apparent;Adjective;B2;анық
apparently;Adverb;B2;шамасы
appeal;Noun Verb;B2;апелляциялық
appear;Verb;A2;пайда
appearance;Noun;A2;келбеті
apple;Noun;A1;алма
application;Noun;B1;қолдану
apply;Verb;A2;қолданылады
appointment;Noun;B1;тағайындау
appreciate;Verb;B1;бағалаймыз
approach;Noun Verb;B2;жақындау
appropriate;Adjective;B2;қолайлы
approval;Noun;B2;мақұлдау
approve;Verb;B2;мақұлдау
approximately;Adverb;B1;шамамен
April;Noun;A1;сәуір
architect;Noun;A2;сәулетші
architecture;Noun;A2;сәулет
area;Noun;A1;аудан
argue;Verb;A2;дауласу
argument;Noun;A2;дәлел
arise;Verb;B2;пайда
arm;Noun;A1;қол
armed;Adjective;B2;қарулы
arms;Noun;B2;қару-жарақ
army;Noun;A2;армия
around;prep. Adverb;A1;айналасында
arrange;Verb;A2;орналастыру
arrangement;Noun;A2;ұйымдастыру
arrest;Verb Noun;B1;тұтқындау
arrival;Noun;B1;келу
arrive;Verb;A1;келу
art;Noun;A1;өнер
article;Noun;A1;мақала
artificial;Adjective;B2;жасанды
artist;Noun;A1;әртіс
artistic;Adjective;B2;көркем
as;prep., Adverb conj.;A1, A2;ретінде
ashamed;Adjective;B2;ұялу
asleep;Adjective;A2;ұйықтау
ask;Verb;A1;сұрау
aspect;Noun;B2;аспектісі
assess;Verb;B2;анықтау
assessment;Noun;B2;баға
assignment;Noun;B1;тапсырма
assist;Verb;B1;көмектесу
assistant;Noun Adjective;A2;ассистент
associate;Verb;B2;әріптес
associated;Adjective;B2;байланысты
association;Noun;B2;қауымдастық
assume;Verb;B2;қабылдау
at;prep.;A1;жанында
athlete;Noun;A2;спортшы
atmosphere;Noun;B1;ауа
attach;Verb;B1;тіркеу
attack;Noun Verb;A2;шабуыл
attempt;Noun Verb;B2;әрекет
attend;Verb;A2;бармайтын
attention;Noun exclam.;A2;назар
attitude;Noun;B1;көзқарас
attract;Verb;B1;тарту
attraction;Noun;B1;тартымдылық
attractive;Adjective;A2;тартымды
audience;Noun;A2;көпшілік
August;Noun;A1;тамыз
aunt;Noun;A1;тәте
author;Noun;A2;автор
authority;Noun;B1;орган
autumn;Noun;A1;күз
available;Adjective;A2;қол жетімді
average;Adjective, Noun Verb;A2, B1;орташа
avoid;Verb;A2;аулақ
award;Noun Verb;A2, B1;марапаттау
aware;Adjective;B1;хабардар
away;Adverb;A1;аулақ
awful;Adjective;A2;қорқынышты
baby;Noun;A1;нәресте
back;Noun AdVerb Adjective, Verb;A1, A2, B2;артқа
background;Noun;A2;фон
backwards;Adverb;B1;артқа
bacteria;Noun;B2;бактерия
bad;Adjective;A1;жаман
badly;Adverb;A2;нашар
bag;Noun;A1;сумка
bake;Verb;B1;пісірілу
balance;Noun Verb;B1;баланс
ball;Noun;A1;доп
ban;Verb Noun;B1;тыйым салу
banana;Noun;A1;банан
band;Noun;A1;топ
bank (money);Noun;A1;банк (ақша)
bank (river);Noun;B1;банк (өзен)
bar;Noun Verb;A2, B2;бар
barrier;Noun;B2;бөгет
base;Noun Verb;B1;негіз
baseball;Noun;A2;Бейсбол
based;Adjective;A2;негізделген
basketball;Noun;A2;баскетбол
basic;Adjective;B1;негізгі
basically;Adverb;B2;негізінде
basis;Noun;B1;негіз
bath;Noun;A1;ванна
bathroom;Noun;A1;жуынатын бөлме
battery;Noun;B1;батарея
battle;Noun Verb;B1, B2;шайқас
be;Verb auxiliary Verb;A1;болуы
beach;Noun;A1;жағажай
bean;Noun;A2;бұршақ
bear (deal with);Verb;B2;аю (айналысатын)
bear (animal);Noun;A2;аю (жануар)
beat;Verb Noun;A2, B2;ұрыс
beautiful;Adjective;A1;әдемі
beauty;Noun;B1;сұлулық
because;conj.;A1;себебі
become;Verb;A1;болу
bed;Noun;A1;төсек
bedroom;Noun;A1;ұйықтайтын бөлме
bee;Noun;B1;ара
beef;Noun;A2;сиыр еті
beer;Noun;A1;сыра
before;prep., conj. Adverb;A1, A2;бұрын
