a, an;indefinite, article;A1;ເປັນ, ເປັນ
abandon;Verb;B2;ຖິ້ມ
ability;Noun;A2;ຄວາມສາມາດ
able;Adjective;A2;ສາມາດ
about;prep. Adverb;A1;ກ່ຽວກັບ
above;prep. Adverb;A1;ຂ້າງເທິງ
abroad;Adverb;A2;ຢູ່ຕ່າງປະເທດ
absolute;Adjective;B2;ຢ່າງແທ້ຈິງ
absolutely;Adverb;B1;ຢ່າງແທ້ຈິງ
academic;adj, Noun;B1, B2;ວິຊາການ
accept;Verb;A2;ຍອມ​ຮັບ
acceptable;Adjective;B2;ຍອມຮັບ
access;Noun Verb;B1;ການເຂົ້າເຖິງ
accident;Noun;A2;ອຸປະຕິເຫດ
accommodation;Noun;B1;ທີ່ພັກ
accompany;Verb;B2;ສົ່ງມາພ້ອມກັບ
according to;prep.;A2;ອີງ​ຕາມ
account;Noun Verb;B1, B2;ບັນຊີ
accurate;Adjective;B2;ທີ່ຖືກຕ້ອງ
accuse;Verb;B2;ໃສ່
achieve;Verb;A2;ບັນລຸ
achievement;Noun;B1;ຄວາມສໍາເລັດ
acknowledge;Verb;B2;ແບບປອດໄພ:
acquire;Verb;B2;ໄດ້ມາ
across;prep. Adverb;A1;ໃນທົ່ວ
act;Verb Noun;A2,B1;ປະຕິບັດ
action;Noun;A1;ການປະຕິບັດ
active;Adjective;A2;ການເຄື່ອນໄຫວ
activity;Noun;A1;ກິດຈະກໍາ
actor;Noun;A1;ນັກສະແດງ
actress;Noun;A1;ນັກສະແດງຍິງ
actual;Adjective;B2;ຕົວຈິງ
actually;Adverb;A2;ຕົວຈິງ
ad;Noun;B1;ການໂຄສະນາ
adapt;Verb;B2;ປັບ
add;Verb;A1;ເພີ່ມ
addition;Noun;B1;ນອກຈາກນັ້ນ
additional;Adjective;B2;ເພີ່ມເຕີມ
address;Noun Verb;A1,B2;ທີ່ຢູ່
administration;Noun;B2;ການບໍລິຫານ
admire;Verb;B1;ຊົມເຊີຍ
admit;Verb;B1;ຍອມຮັບ
adopt;Verb;B2;ຮັບຮອງເອົາ
adult;Noun adj;A1,A2;ສໍາລັບຜູ້ໃຫຍ່
Advance;Noun Verb adj;B2;ລ່ວງຫນ້າ
Advanced;Adjective;B1;Advanced
Advantage;Noun;A2;ປະໂຫຍດ
Adventure;Noun;A2;ໄຟອັນຕລາຍ
Advertise;Verb;A2;ໂຄສະນາ
Advertisement;Noun;A2;ການໂຄສະນາ
Advertising;Noun;A2;ການໂຄສະນາ
Advice;Noun Verb;A1, B1;ຄໍາແນະນໍາ
affair;Noun;B2;ເລື່ອງ
affect;Verb;A2;ມີຜົນກະທົບ
afford;Verb;B1;ມາດ
afraid;Adjective;A1;ຢ້ານ
after;prep. conj. Adverb;A1,A2;ຫຼັງຈາກ
afternoon;Noun;A1;ຕອນບ່າຍ
afterwards;Adverb;B2;ນອກຈາກນັ້ນກໍ່
again;Adverb;A1;ອີກເທື່ອຫນຶ່ງ
against;prep;A2;ຕ້ານ
age;Noun Verb;A1, B1;ອາຍຸສູງສຸດ
aged;Adjective;B1;ມີອາຍຸແຕ່
agency;Noun;B2;ອົງການ
agenda;Noun;B2;ກອງປະຊຸມ
agent;Noun;B1;ຕົວແທນ
aggressive;Adjective;B2;ຮຸກຮານ
ago;Adverb;A1;ກ່ອນຫນ້ານີ້
agree;Verb;A1;ຕົກລົງເຫັນດີ
agreement;Noun;B1;ຂໍ້ຕົກລົງ
ah;exclam.;A2;ah
ahead;Adverb;B1;ກ່ອນກ່ອນເວລາ
aid;Noun Verb;B2;ຊ່ວຍເຫຼືອ
aim;Verb Noun;B1;ຈຸດປະສົງ
air;Noun;A1;ອາກາດ
aircraft;Noun;B2;ເຮືອບິນ
