a, an;indefinite, article;A1;එය, යම්
abandon;Verb;B2;අතහැර
ability;Noun;A2;හැකියාව
able;Adjective;A2;පුළුවන්
about;prep. Adverb;A1;පිළිබඳව
above;prep. Adverb;A1;ඉහත
abroad;Adverb;A2;විදේශ
absolute;Adjective;B2;නිරපේක්ෂ
absolutely;Adverb;B1;පරම
academic;adj, Noun;B1, B2;අධ්යයන
accept;Verb;A2;පිළිගැනීමට
acceptable;Adjective;B2;පිළිගත හැකි
access;Noun Verb;B1;ප්රවේශ
accident;Noun;A2;රිය අනතුරකින්
accommodation;Noun;B1;නවාතැන් පහසුකම්
accompany;Verb;B2;සමග
according to;prep.;A2;අනුව
account;Noun Verb;B1, B2;ගිණුම
accurate;Adjective;B2;නිවැරදි
accuse;Verb;B2;චෝදනා
achieve;Verb;A2;සාක්ෂාත් කර
achievement;Noun;B1;ජයග්රහණය
acknowledge;Verb;B2;පිලිගැනීමට
acquire;Verb;B2;ලබාගැනීම
across;prep. Adverb;A1;පුරා
act;Verb Noun;A2,B1;පනත
action;Noun;A1;කටයුතු
active;Adjective;A2;ක්රියාකාරී
activity;Noun;A1;ක්රියාකාරකම්
actor;Noun;A1;නළුවා
actress;Noun;A1;නිළිය
actual;Adjective;B2;සැබෑ
actually;Adverb;A2;ඇත්තටම
ad;Noun;B1;දැන්වීම
adapt;Verb;B2;අනුවර්තනය
add;Verb;A1;එකතු
addition;Noun;B1;ඊට අමතරව
additional;Adjective;B2;අමතර
address;Noun Verb;A1,B2;ලිපිනය
administration;Noun;B2;පරිපාලනය
admire;Verb;B1;අගය
admit;Verb;B1;පිළිගන්න
adopt;Verb;B2;සම්මත
adult;Noun adj;A1,A2;වැඩිහිටි
Advance;Noun Verb adj;B2;අත්තිකාරම්
Advanced;Adjective;B1;උසස්
Advantage;Noun;A2;වාසිය
Adventure;Noun;A2;වීර චාරිකා
Advertise;Verb;A2;දැන්වීම් පළ
Advertisement;Noun;A2;දැන්වීමක්
Advertising;Noun;A2;වෙළඳ දැන්වීම්
Advice;Noun Verb;A1, B1;උපදෙස්
affair;Noun;B2;අනියම්
affect;Verb;A2;බලපාන
afford;Verb;B1;දැරිය
afraid;Adjective;A1;බිය
after;prep. conj. Adverb;A1,A2;අනතුරුව
afternoon;Noun;A1;දහවල්
afterwards;Adverb;B2;පසුව
again;Adverb;A1;යළි
against;prep;A2;එරෙහි
age;Noun Verb;A1, B1;වයස
aged;Adjective;B1;වයස අවුරුදු
agency;Noun;B2;නියෝජිතායතනය
