a, an;indefinite, article;A1;يو، يو
abandon;Verb;B2;پرېږدي
ability;Noun;A2;توان
able;Adjective;A2;کولای
about;prep. Adverb;A1;په اړه
above;prep. Adverb;A1;پورته
abroad;Adverb;A2;په بهر کې
absolute;Adjective;B2;مطلق
absolutely;Adverb;B1;په بشپړه توګه
academic;adj, Noun;B1, B2;علمي
accept;Verb;A2;ومني
acceptable;Adjective;B2;د منلو وړ
access;Noun Verb;B1;رسی
accident;Noun;A2;ټکر
accommodation;Noun;B1;د استوګنې
accompany;Verb;B2;ملتیا
according to;prep.;A2;په وینا د
account;Noun Verb;B1, B2;ګڼون
accurate;Adjective;B2;کره
accuse;Verb;B2;تورنوي
achieve;Verb;A2;ترلاسه
achievement;Noun;B1;لاسته راوړنه
acknowledge;Verb;B2;دا تصديقوم
acquire;Verb;B2;لاسته راوړنه
across;prep. Adverb;A1;ټول
act;Verb Noun;A2,B1;عمل
action;Noun;A1;د عمل
active;Adjective;A2;فعال
activity;Noun;A1;د فعالیتونو
actor;Noun;A1;لوبغاړی
actress;Noun;A1;لوبغاړې
actual;Adjective;B2;واقعي
actually;Adverb;A2;په حقيقت کې
ad;Noun;B1;زیږدیز کال
adapt;Verb;B2;د خپلولو
add;Verb;A1;اضافه
addition;Noun;B1;سربېره
additional;Adjective;B2;اضافي
address;Noun Verb;A1,B2;پته
administration;Noun;B2;د ادارې
admire;Verb;B1;ستاینه
admit;Verb;B1;مني
adopt;Verb;B2;کړي
adult;Noun adj;A1,A2;بالغ
Advance;Noun Verb adj;B2;پرمختللی
Advanced;Adjective;B1;ژور
Advantage;Noun;A2;ګټه
Adventure;Noun;A2;پېښه
Advertise;Verb;A2;اعلانونه
Advertisement;Noun;A2;یؤو
Advertising;Noun;A2;اعلانونه
Advice;Noun Verb;A1, B1;مشوره
affair;Noun;B2;چارو
affect;Verb;A2;اغيزه
afford;Verb;B1;وس
afraid;Adjective;A1;ويره
after;prep. conj. Adverb;A1,A2;وروسته
afternoon;Noun;A1;له غرمې وروسته
afterwards;Adverb;B2;وروسته
again;Adverb;A1;بیا
against;prep;A2;په وړاندې د
age;Noun Verb;A1, B1;عمر
aged;Adjective;B1;عمر
agency;Noun;B2;د ادارې
agenda;Noun;B2;اجندا
agent;Noun;B1;اجنټ
aggressive;Adjective;B2;تیري
ago;Adverb;A1;وړاندې
agree;Verb;A1;موافق
agreement;Noun;B1;تړون
ah;exclam.;A2;هجري
ahead;Adverb;B1;مخ
aid;Noun Verb;B2;د مرستو د
aim;Verb Noun;B1;موخه
air;Noun;A1;د هوا
aircraft;Noun;B2;الوتکه
airline;Noun;A2;هوايي شرکت
airport;Noun;A1;هوايي ډګر
alarm;Noun Verb;B1, B2;خطر زنګ
album;Noun;B1;البوم
alcohol;Noun;B1;د الکولو
alcoholic;Adjective;B1;الکولي
alive;Adjective;A2;ژوندی
all;det. pron, Adverb;A1, A2;ټول
all right;Adjective, Adverb exclam;A2;ښه
allow;Verb;A2;اجازه
almost;Adverb;A2;تقریبا
alone;Adjective, Adverb;A2;يوازې
along;prep. Adverb;A2;په اوږدو کې
already;Adverb;A2;لا د
also;Adverb;A1;هم
alter;Verb;B2;یووارې
alternative;Noun Adjective;A2, B1;د بدیل
although;conj;A2;که څه هم
always;Adverb;A1;تل
amazed;Adjective;B1;حيران
amazing;Adjective;A1;حیرانونکې
ambition;Noun;B1;ځانپالنې
ambitious;Adjective;B1;هيلو
among;prep.;A2;په منځ کې
amount;Noun Verb;A2, B2;اندازه
analyse;Verb;B1;تحلیل
analysis;Noun;B1;تحلیل
ancient;Adjective;A2;د لرغونو
and;conj;A1;او
anger;Noun;B2;قهر
angle;Noun;B2;زاويه
angry;Adjective;A1;په غوسه
animal;Noun;A1;د څارويو
ankle;Noun;A2;د گوتی
anniversary;Noun;B2;لمانځ غونډه
announce;Verb;B1;اعلان
announcement;Noun;B1;اعلان
annoy;Verb;B1;زینت
annoyed;Adjective;B1;غمګين
annoying;Adjective;B1;سرخوږی
annual;Adjective;B2;کلنی
another;det. proNoun;A1;بل
answer;Noun Verb;A1;ځواب
anxious;Adjective;B2;د خرابیدو په
any;det. proNoun, Adverb;A1, A2;کوم
anybody;pron;A2;هيچا
any more;Adverb;A2;نور
anyone;pron;A1;څوک
anything;pron;A1;څه
anyway;Adverb;A2;دليله
anywhere;AdVerb proNoun;A2;هرځای
apart;Adverb;B1;ټوټه
apartment;Noun;A1;اپارتمان
apologize;Verb;B1;بښنه
app;Noun;A2;ددفتروسایل
apparent;Adjective;B2;د څرګند
apparently;Adverb;B2;ظاهرا
appeal;Noun Verb;B2;د استیناف
appear;Verb;A2;ښکاري
appearance;Noun;A2;بڼه
apple;Noun;A1;مڼه
application;Noun;B1;غوښتنلیک
apply;Verb;A2;درخواست
appointment;Noun;B1;د ټاکلو
appreciate;Verb;B1;مننه
approach;Noun Verb;B2;روش
appropriate;Adjective;B2;د اړوندو
approval;Noun;B2;د تصویب
approve;Verb;B2;تصویب
approximately;Adverb;B1;تقريبا
April;Noun;A1;اپریل
architect;Noun;A2;طراح
architecture;Noun;A2;معمارۍ
area;Noun;A1;په سيمه کې
argue;Verb;A2;استدلال کوي
argument;Noun;A2;دليل
arise;Verb;B2;راپورته
arm;Noun;A1;وسلې
armed;Adjective;B2;وسله
arms;Noun;B2;د وسلو د
army;Noun;A2;پوځ
around;prep. Adverb;A1;شاوخوا
arrange;Verb;A2;انتظام
arrangement;Noun;A2;د منظمولو
arrest;Verb Noun;B1;د نيولو
arrival;Noun;B1;راتګ
arrive;Verb;A1;ته
art;Noun;A1;هنر
article;Noun;A1;ماده
artificial;Adjective;B2;مصنوعي
artist;Noun;A1;هنرمند
artistic;Adjective;B2;هنري
as;prep., Adverb conj.;A1, A2;په توګه
ashamed;Adjective;B2;د شرم
asleep;Adjective;A2;ويده
ask;Verb;A1;پوښتنه
aspect;Noun;B2;اړخ
assess;Verb;B2;ارزونه
assessment;Noun;B2;د ارزونې
assignment;Noun;B1;دنده
assist;Verb;B1;مرسته
assistant;Noun Adjective;A2;معاون
associate;Verb;B2;ملګري
associated;Adjective;B2;ورسره تړلي
association;Noun;B2;د ټولنې
assume;Verb;B2;په غاړه
at;prep.;A1;په
athlete;Noun;A2;ورزشکار
atmosphere;Noun;B1;فضا
attach;Verb;B1;مل کړئ
attack;Noun Verb;A2;برید
attempt;Noun Verb;B2;هڅه
attend;Verb;A2;ځی
attention;Noun exclam.;A2;پاملرنه
attitude;Noun;B1;چلند
attract;Verb;B1;د جذبولو
attraction;Noun;B1;جذب
attractive;Adjective;A2;په زړه پورې
audience;Noun;A2;اورېدونکي
August;Noun;A1;اګست
aunt;Noun;A1;ترور
author;Noun;A2;لیکوال
authority;Noun;B1;واک
autumn;Noun;A1;په مني
available;Adjective;A2;شته
average;Adjective, Noun Verb;A2, B1;په اوسط ډول
avoid;Verb;A2;ډډه
award;Noun Verb;A2, B1;جایزه
aware;Adjective;B1;خبر
away;Adverb;A1;لرې
awful;Adjective;A2;ښویدنه
baby;Noun;A1;ماشوم
back;Noun AdVerb Adjective, Verb;A1, A2, B2;بېرته
background;Noun;A2;شاليد
backwards;Adverb;B1;شاته
bacteria;Noun;B2;باکټريا
bad;Adjective;A1;بد
badly;Adverb;A2;بد
bag;Noun;A1;کڅوړه
bake;Verb;B1;چنډه
balance;Noun Verb;B1;توازن
ball;Noun;A1;توپ
ban;Verb Noun;B1;بندیز
banana;Noun;A1;كيله
band;Noun;A1;بند
bank (money);Noun;A1;د بانک (پيسې)
bank (river);Noun;B1;د بانک (سيند)
bar;Noun Verb;A2, B2;bar
barrier;Noun;B2;خنډ
base;Noun Verb;B1;اډه
baseball;Noun;A2;بال
based;Adjective;A2;پر بنسټ
basketball;Noun;A2;باسکتبال
basic;Adjective;B1;د اساسي
basically;Adverb;B2;په بنسټيزه
basis;Noun;B1;بنسټ
bath;Noun;A1;حمام
bathroom;Noun;A1;تشناب
battery;Noun;B1;د بیټرۍ
battle;Noun Verb;B1, B2;جګړه
be;Verb auxiliary Verb;A1;وي
beach;Noun;A1;ساحلی
bean;Noun;A2;لوبیا
bear (deal with);Verb;B2;Bear (د سره تړون)
bear (animal);Noun;A2;Bear (د حیواناتو)
beat;Verb Noun;A2, B2;وهلو
beautiful;Adjective;A1;ښکلی
beauty;Noun;B1;ښکلا
because;conj.;A1;ځکه چې
become;Verb;A1;شي
bed;Noun;A1;بستره
bedroom;Noun;A1;په کوټه
bee;Noun;B1;د مچيو
beef;Noun;A2;د غوښينو
beer;Noun;A1;بير
before;prep., conj. Adverb;A1, A2;مخکې
beg;Verb;B2;بيګ
begin;Verb;A1;پيل كيدل؛ شروع كيدل: او چنېدل، راوتل
beginning;Noun;A1;پیل
behave;Verb;A2;چلند
behaviour;Noun;A2;چلند
behind;prep. Adverb;A1;تر شا
being;Noun;B2;وجود
belief;Noun;B1;باور
believe;Verb;A1;باور
bell;Noun;B1;Bell
belong;Verb;A2;پورې اړه لري
below;Adverb prep.;A1;لاندې
belt;Noun;A2;کمربند
bend;Verb Noun;B1;خم
benefit;Verb NouNoun;A2, B1;ګټه
bent;Adjective;B2;شاخي
best;Adjective, AdVerb Noun;A1, A2;ښه
bet;Verb Noun;B2;شرط
better;Adjective , Adverb , Noun;A1, A2, B1;ښه
between;prep., Adverb;A1, A2;تر منځ
beyond;prep. Adverb;B2;هاخوا
bicycle;Noun;A1;بايسکل
big;Adjective;A1;لوی
bike;Noun;A1;موټرسايکل
bill;Noun Verb;A1, B2;لايحه
billion number; ;A2;میلیارده شمیر
bin;Noun;A2;بن
biology;Noun;A2;بیولوژي
bird;Noun;A1;د مرغانو د
birth;Noun;A2;د ولادت
birthday;Noun;A1;د زیږیدو نیټه
biscuit;Noun;A2;بیسکویت
bit;Noun;A2;څه
bite;Verb Noun;B1;ولګوی
bitter;Adjective;B2;ترخې
black;Adjective, Noun;A1;تور
blame;Verb Noun;B2;پړه
blank;Adjective, Noun;A2;خالي
blind;Adjective;B2;ړوند
block;Noun Verb;B1;د بنديز
blog;Noun;A1;بلاګ
blonde;Adjective;A1;طاليي زيړ
blood;Noun;A2;وينه
blow;Verb;A2;ګوزار
blue;Adjective, Noun;A1;آبي
board;Noun Verb;A2, B1;تخته
boat;Noun;A1;بېړۍ
body;Noun;A1;د بدن
boil;Verb;A2;دانې
bomb;Noun Verb;B1;بم
bond;Noun;B2;بانډ
bone;Noun;A2;د هډوکو
book;Noun Verb;A1, A2;کتاب
boot;Noun;A1;بوټانو د
border;Noun Verb;B1, B2;د سرحدي
bored;Adjective;A1;په تنگ راغلي
boring;Adjective;A1;خلک ستړي
born;Verb;A1;زیږیدلی
borrow;Verb;A2;پور
boss;Noun;A2;مشر
both;det./proNoun;A1;د دواړو
bother;Verb;B1;مزاحمت
bottle;Noun;A1;بوتل
bottom;NouNoun Adjective;A2;ښکته
bowl;Noun;A2;کاسې
box;Noun;A1;بکس
boy;Noun;A1;هلک
boyfriend;Noun;A1;هلک
brain;Noun;A2;د مغزو
branch;Noun;B1;څانګه
brand;Noun Verb;B1;د نښې
brave;Adjective;B1;زړور
bread;Noun;A1;ډوډۍ
break;Verb Noun;A1;د وقفې
breakfast;Noun;A1;چای
breast;Noun;B2;سينه
breath;Noun;B1;ساه
breathe;Verb;B1;تنفس
breathing;Noun;B1;د تنفس
bride;Noun;B1;ناوې
bridge;Noun;A2;پل
brief;Adjective;B2;لنډ
bright;Adjective;A2;روښانه
brilliant;Adjective;A2;وځليد
bring;Verb;A1;راولي
broad;Adjective;B2;پراخ
broadcast;Verb Noun;B2;د خپرونو
broken;Adjective;A2;مات
brother;Noun;A1;ورور
brown;Adjective, Noun;A1;نصواري
brush;Verb Noun;A2;برس
bubble;Noun;B1;شامپو
budget;Noun;B2;د بودجې د
build;Verb;A1;جوړول
building;Noun;A1;ودانۍ
bullet;Noun;B2;مرمۍ
bunch;Noun;B2;ډله
burn;Verb Noun;A2, B2;سوځوي
bury;Verb;B1;ښخ
bus;Noun;A1;بس
bush;Noun;B2;د بوش د
business;Noun;A1;د سوداګرۍ
businessman;Noun;A2;سوداګر
busy;Adjective;A1;بوخت
but;conj. prep;A1, B2;خو
butter;Noun;A1;کوچ
button;Noun;A2;تڼی
buy;Verb;A1;اخلي
by;prep. Adverb;A1, B1;له خوا
bye;exclam;A1;د خدای په امان
cable;Noun;B2;کیبل
cafe;Noun;A1;کافه
cake;Noun;A1;کيک
calculate;Verb;B2;محاسبه
call;Verb Noun;A1;غږ
calm;Adjective Verb Noun;B1;ارام
camera;Noun;A1;کامرې
camp;Noun Verb;A2;کمپ
campaign;Noun Verb;B1;کمپاین
camping;Noun;A2;ورپېښه شوې
campus;Noun;B1;انګړ
can1;modal Verb;A1;can1
can2;Noun;A2;can2
cancel;Verb;B2;لغوه
cancer;Noun;B2;د سرطان
candidate;Noun;B1;د کانديد
cannot;Verb;A1;نه
cap;Noun;B1;خولۍ
capable;Adjective;B2;توان
capacity;Noun;B2;د ظرفیت
capital;Noun Adjective;A1;مرکز
captain;Noun;B1;کپتان
capture;Verb Noun;B2;نیول
car;Noun;A1;موټر
card;Noun;A1;کارت
care;Noun Verb;A2;د پاملرنې
career;Noun;A1;مسلک
careful;Adjective;A2;احتياط
carefully;Adverb;A2;په دقت سره
careless;Adjective;B1;بې احتياطۍ
carpet;Noun;A2;د غاليو
carrot;Noun;A1;ګازرې
carry;Verb;A1;انتقال
cartoon;Noun;A2;کارتون
